neuron,state
PDER,0.03946581622938747
PHAL,0.05301973291146746
PHAL,0.07295196332596042
PHAL,0.011361371338657661
PHAR,0.07454654176070823
PHAR,0.006178991428903973
PHAR,0.081323500104245
PHBL,0.0843133346653879
PHBL,0.11939406020018617
PHBL,0.02053019732910405
PHBR,0.08570859079673802
PHBR,0.01076340442532348
PHBR,0.11859677098444002
PHCL,0.05800279051334502
PHCL,0.06139126968796992
PHCL,0.007374925253921643
PHCR,0.0962726729124169
PHCR,0.013753238987880214
PHCR,0.06258720351207324
PLML,0.03787123779332715
PLML,0.02192545345776485
PLMR,0.04684074147810915
PLMR,0.01674307355115905
PLNL,0.05461431134801085
PLNL,0.0438509069181265
PLNL,0.04504684074109218
PLNL,0.031293601755368675
PLNR,0.029300378712723507
PLNR,0.017540362766297526
PLNR,0.01953358580838728
PLNR,0.028303767194852527
PQR,0.031891568666077695
PQR,0.103448275864477
PQR,0.140123579839776
PVCL,0.20111620491934187
PVCL,0.267689854509906
PVCL,0.21168028702981628
PVCL,0.4572453657803234
PVCR,0.17759617302834982
PVCR,0.2716763005855885
PVCR,0.25493322703565235
PVCR,0.5367749651333582
PVDL,0.039465816225719305
PVDL,0.047837353001079164
PVDL,0.06737093881679267
PVDR,0.033884791706934904
PVDR,0.04464819613532042
PVDR,0.08790113614155438
PVM,0.04026310544354007
PVM,0.008570859079707787
PVM,0.050029898348227124
PVPL,0.18198126372481066
PVPL,0.3011760016224087
PVPL,0.09049232609438769
PVPL,0.31492924059547917
PVPR,0.13653577836637873
PVPR,0.32589196732652104
PVPR,0.14251544748344938
PVPR,0.25054813634355116
PVQL,0.11082320112876104
PVQL,0.10843133347116923
PVQL,0.049830576044055344
PVQL,0.09069164839729746
PVQR,0.07474586407142753
PVQR,0.16503886785532848
PVQR,0.10962726729748454
PVQR,0.06338449272831936
PVR,0.11181981264749243
PVR,0.10922862268701436
PVR,0.15666733108132522
PVR,0.3334662148776353
PVT,0.20430536179450662
PVT,0.27028104446997986
PVT,0.11939406020182246
PVT,0.27944987045384795
PVWL,0.04763803069531403
PVWL,0.08969503687868373
PVWL,0.046442096875472044
PVWR,0.04444887382981479
PVWR,0.1383296790947984
PVWR,0.08132350010506609
RIAL,0.3731313534487935
RIAL,0.2589196731287004
RIAL,0.024317321110121696
RIAL,0.18178194140775347
RIAR,0.37173609730521706
RIAR,0.20211281642838438
RIAR,0.25911899542814787
RIAR,0.040063783138719423
RIBL,0.14869443891288966
RIBL,0.17440701615704798
RIBL,0.09986047439151939
RIBL,0.379708989519726
RIBR,0.1740083715462274
RIBR,0.14729918278293846
RIBR,0.09966115208768869
RIBR,0.3340641818541306
RICL,0.27606139129546037
RICL,0.1122184572506138
RICL,0.08849910305276602
RICL,0.015148495116396246
RICR,0.33545943794070415
RICR,0.13793103448907823
RICR,0.12039067172057516
RICR,0.021726131155669733
RID,0.11082320112808834
RID,0.08730316922741177
RID,0.04963125373985898
RID,0.03547937014349833
RIFL,0.18417380907022238
RIFL,0.030296990233534583
RIFL,0.06557703807459506
RIFL,0.022324098068788288
RIFR,0.1219852501677412
RIFR,0.12138728323970006
RIFR,0.09148893761663147
RIFR,0.026310544150748752
RIGL,0.14590392665849336
RIGL,0.18517042057622327
RIGL,0.07813434323810356
RIGL,0.3364560495054943
RIGR,0.16264700020733594
RIGR,0.08610723540141409
RIGR,0.3019732908732152
RIGR,0.11102252342075994
RIH,0.4674108033167315
RIH,0.1457046043595313
RIH,0.1259716962388891
RIH,0.02352003189231724
RIML,0.37990831179229695
RIML,0.23819015348547995
RIML,0.1993223041719345
RIML,0.06936416185210062
RIMR,0.3029699023660961
RIMR,0.19513653578583917
RIMR,0.1897548335761456
RIMR,0.08570859079179119
RIPL,0.026111221846159046
RIPL,0.021925453459419413
RIPL,0.08032688858282186
RIPL,0.056009567479596865
RIPR,0.020131552720165632
RIPR,0.0087701813840931
RIPR,0.0803268885841866
RIPR,0.07673908711838687
RIR,0.1506876619584719
RIR,0.12736695236755302
RIR,0.0061789914289527995
RIR,0.2501494917845456
RIS,0.262507474618163
RIS,0.22403826989214418
RIS,0.08431333466146769
RIS,0.14989037274021721
RIVL,0.22583217064041824
RIVL,0.09726928443268949
RIVL,0.0711580625902793
RIVL,0.032290213275880504
RIVR,0.263703408436638
RIVR,0.09128961531685678
RIVR,0.027506477977229753
RIVR,0.08451265696874816
RMDDL,0.07893163245671465
RMDDL,0.15806258721287697
