neuron,chem_in,chem_out,gap_deg,pep_in,pep_out,chem_in_z,chem_out_z,gap_deg_z,pep_in_z,pep_out_z,archetype,NT,is_command,is_monoamine,is_sensory,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,cluster,cluster_label
IL1VL,8,8,3,2,0,-0.26307192370517124,-0.23259478873355868,0.17853789014440422,-0.7503017558428384,-0.756431360403864,Quiet,Glu,0,0,0,4,1,4,2,4,Baseline
IL1VR,9,6,3,2,0,-0.12234429222915194,-0.48144318920994433,0.17853789014440422,-0.7503017558428384,-0.756431360403864,Quiet,Glu,0,0,0,1,1,4,2,4,Baseline
IL2DL,1,17,0,16,0,-1.2481653440373062,0.8872230134101767,-1.0600687227324,-0.17251735119478542,-0.756431360403864,Intermediate,ACh,0,0,1,4,5,1,0,1,Diffuse
IL2DR,1,13,0,16,0,-1.2481653440373062,0.38952621245740543,-1.0600687227324,-0.17251735119478542,-0.756431360403864,Quiet,ACh,0,0,1,4,5,1,0,1,Diffuse
IL2L,7,11,4,61,0,-0.4037995551811905,0.14067781198101978,0.5914067611033389,1.6846468066025275,-0.756431360403864,Wireless_target,ACh,0,0,1,0,3,2,7,2,pep_in+
IL2R,10,19,2,61,0,0.01838333924686735,1.1360714138865624,-0.2343309808145305,1.6846468066025275,-0.756431360403864,Multiplex_integrator,ACh,0,0,1,0,3,2,0,2,pep_in+
IL2VL,2,13,0,16,0,-1.1074377125612869,0.38952621245740543,-1.0600687227324,-0.17251735119478542,-0.756431360403864,Quiet,ACh,0,0,1,4,5,1,0,1,Diffuse
IL2VR,1,16,0,16,0,-1.2481653440373062,0.7627988131719838,-1.0600687227324,-0.17251735119478542,-0.756431360403864,Intermediate,ACh,0,0,1,4,5,1,0,1,Diffuse
OLLL,9,21,4,44,0,-0.12234429222915194,1.384919814362948,0.5914067611033389,0.9830514581013204,-0.756431360403864,Wired_broadcaster,Glu,0,0,0,0,3,2,0,2,pep_in+
OLLR,9,18,4,44,0,-0.12234429222915194,1.0116472136483696,0.5914067611033389,0.9830514581013204,-0.756431360403864,Wired_broadcaster,Glu,0,0,0,0,3,2,0,2,pep_in+
OLQDL,6,9,6,90,0,-0.5445271866572098,-0.10817058849536586,1.4171445030212084,2.881485930516352,-0.756431360403864,Multiplex_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
OLQDR,5,10,8,90,0,-0.6852548181332291,0.01625361174282696,2.2428822449390777,2.881485930516352,-0.756431360403864,Multiplex_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
OLQVL,7,7,5,90,0,-0.4037995551811905,-0.3570189889717515,1.0042756320622737,2.881485930516352,-0.756431360403864,Multiplex_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
OLQVR,7,9,5,90,0,-0.4037995551811905,-0.10817058849536586,1.0042756320622737,2.881485930516352,-0.756431360403864,Multiplex_integrator,Glu,0,0,0,0,3,2,7,2,pep_in+
PLNL,2,7,0,6,0,-1.1074377125612869,-0.3570189889717515,-1.0600687227324,-0.5852204973719661,-0.756431360403864,Quiet,ACh,0,0,0,1,1,4,2,4,Baseline
