wbgene,symbol,motif,rho,p,q_global,q_per_motif
WBGene00013697,dsbn-1,two_in_resid,0.34403829977141354,2.4121269146270676e-06,0.0009917287514709572,0.00022393875033215163
WBGene00012675,Y39B6A.13,two_in_resid,0.34373904717325987,2.4644484973966635e-06,0.0010063941776058077,0.00022636221623960416
WBGene00018596,F48C1.3,clust_resid,0.3434496999135257,2.5160640498522514e-06,0.0010205763694293313,0.0016566992454380087
WBGene00003618,nhr-19,two_in_resid,-0.34325507491674717,2.55135944190438e-06,0.0010279937463321127,0.00023187828864634124
WBGene00017758,F23H11.2,two_in_resid,0.3429560791255229,2.6065019577063744e-06,0.0010391850851481131,0.00023442226982121705
WBGene00011442,T04F8.3,recip_resid,-0.3428301252572132,2.630068974207784e-06,0.0010391850851481131,0.005235985377570762
WBGene00010053,F54D5.9,two_in_resid,0.34275533023368493,2.644159550901492e-06,0.0010391850851481131,0.0002353574594070462
WBGene00001613,glr-2,total_deg,0.34273547579193747,2.647911961229846e-06,0.0010391850851481131,0.0007883473059744307
WBGene00002266,lec-3,clust_resid,-0.3422893821892755,2.7335699662588563e-06,0.0010622986751641058,0.0016566992454380087
WBGene00004508,rrf-1,two_in_resid,0.3422120496831338,2.748684798168092e-06,0.0010622986751641058,0.00024066506782217118
WBGene00008426,D2045.9,two_in_resid,0.34215677577450987,2.759536913874791e-06,0.0010622986751641058,0.00024066506782217118
WBGene00007187,tag-342,two_in_resid,0.3416975103015363,2.851295933325474e-06,0.0010906748330273735,0.00024618089088332146
WBGene00010566,K04G2.7,clust_resid,0.34156545441599306,2.8782127266122456e-06,0.0010940466715156662,0.0016566992454380087
WBGene00011082,R07B1.11,two_in_resid,0.3412483805085878,2.943831932658048e-06,0.0011119957146624193,0.0002505246849088272
WBGene00010275,acc-1,two_in_resid,0.34110322352854344,2.974345102896259e-06,0.0011149894927115088,0.0002505246849088272
WBGene00044774,F16B3.3,two_in_resid,0.3410356384439904,2.98865445281552e-06,0.0011149894927115088,0.0002505246849088272
WBGene00086551,D2005.7,total_deg,0.3409096591568374,3.0155021839089254e-06,0.001117435903749858,0.000837721901125362
WBGene00014203,ZK1058.3,recip_resid,-0.34083189126174107,3.032189817912186e-06,0.001117435903749858,0.005235985377570762
WBGene00012211,ssp-37,total_deg,-0.3406706693689795,3.0670654367450877e-06,0.0011234381870666643,0.000837721901125362
WBGene00022720,ZK370.6,total_deg,0.34049804774926373,3.1048298397048392e-06,0.0011284903355908806,0.000837721901125362
WBGene00022149,lin-65,two_in_resid,0.34043740229646413,3.1182018935715453e-06,0.0011284903355908806,0.0002588707225874685
WBGene00001817,haf-7,two_in_resid,0.34002262249904236,3.211138120149341e-06,0.0011552069387237255,0.0002640473002797087
WBGene00198075,F57B7.8,clust_resid,0.3398988880552313,3.239368444873354e-06,0.0011584671601849454,0.0017480441970647836
WBGene00022110,Y71F9AL.4,two_in_resid,0.33895519351173053,3.4625717265183895e-06,0.001227177124529446,0.0002820362668562243
WBGene00009174,F26H9.2,ffl_resid,0.3389161738127872,3.472108413490441e-06,0.001227177124529446,0.012091230244277468
