,in_deg,out_deg,total_deg,ffl,cycle3,recip,two_in,two_out,clust,ffl_resid,cycle3_resid,recip_resid,two_in_resid,two_out_resid,clust_resid
IL1R,11,14,25,51,20,5,142,146,0.461038961038961,5.0479676841442895,-1.4712106397934832,-0.4011399981844912,-5.092524182719671,-45.574471863331354,-0.057702313473601885
IL1VL,11,8,19,15,8,4,112,58,0.26136363636363635,-1.7841722725875044,-3.5882643916013564,0.25730747765879247,-33.462142043842704,-43.75968819604948,-0.1726102031152722
IL1VR,11,6,17,6,6,3,92,46,0.18181818181818182,-1.0615522581647667,-2.2939489755373117,-0.18987669706011268,-52.918681330883715,-25.82142697362218,-0.22389984598284196
IL2DL,1,15,16,49,3,1,9,177,3.466666666666667,0.4373466058380089,-7.326533419535586,-2.2894908528699798,12.875633964927786,-27.347885598983908,2.679188473801959
IL2DR,1,11,12,21,0,0,6,115,1.9090909090909092,-8.117413365316509,-3.7379025874075005,-2.183859202307791,10.962555390845747,-29.471363154129307,1.1781243395819707
IL2L,10,15,25,39,21,8,105,240,0.4,-11.588273430176578,-0.8391848549965175,2.5612577949704676,-27.24026568878645,33.675969213011115,-0.15833008160282558
IL2R,10,17,27,53,23,9,118,271,0.4470588235294118,-7.310893444599309,-2.133500271060555,3.0084419696893727,-14.78372640174544,34.73770799058377,-0.13952706975129853
IL2VL,2,13,15,35,0,1,24,146,1.3461538461538463,-4.065102272629751,-8.311401496300533,-1.9754807333843907,13.295105827474067,-28.629196064112733,0.6123923662183434
IL2VR,1,14,15,44,1,1,17,147,3.2142857142857144,0.2986566130493813,-7.679375711503564,-2.013082940229433,21.14736432140727,-42.378754987770265,2.440935427259949
OLLL,13,23,36,92,35,9,174,319,0.42474916387959866,1.8460398334609636,-3.8539969977396638,0.63357737645957,-5.786075091860454,-7.735790739366394,-0.1702214606808053
OLLR,11,22,33,99,28,8,165,302,0.5247933884297521,14.157487626453332,-6.648472304049655,0.3875967006911294,15.7336329654444,-9.327516753040527,-0.10697113279435
