wbgene,symbol,freq_pre,freq_post,freq_max,coef_pre_mean,coef_post_mean
WBGene00000679,col-105,0.03,0.0,0.03,-5.12414046445224e-05,0.0
WBGene00017889,F28B3.10,0.03,0.0,0.03,0.0005142297139430306,0.0
WBGene00009174,F26H9.2,0.01,0.03,0.03,-9.862951353284744e-05,-0.0005892367561035206
WBGene00018399,F43H9.3,0.0,0.03,0.03,0.0,-0.0005244779771682273
WBGene00019677,K12H4.2,0.0,0.03,0.03,0.0,-0.0010577709468190689
WBGene00013568,Y75B12B.3,0.03,0.0,0.03,0.0015984636789726572,0.0
WBGene00018767,F53G2.2,0.03,0.0,0.03,0.00043353055932983685,0.0
WBGene00016958,ilys-4,0.03,0.0,0.03,0.0005241653338785068,0.0
WBGene00022795,ZK686.5,0.03,0.0,0.03,-0.00013131407520313877,0.0
WBGene00013846,ZC84.1,0.03,0.0,0.03,-0.0017997758111264928,0.0
WBGene00016124,dnc-4,0.03,0.0,0.03,0.0004067845378372562,0.0
WBGene00005111,srd-33,0.0,0.03,0.03,0.0,-0.002147955234108343
WBGene00018424,pgph-2,0.0,0.03,0.03,0.0,-6.287611314008644e-05
WBGene00219838,C28H8.14,0.0,0.03,0.03,0.0,-0.0008106868534408819
WBGene00006368,sym-3,0.0,0.03,0.03,0.0,-3.4450451875077985e-06
WBGene00018349,F42C5.9,0.0,0.03,0.03,0.0,0.00010284433154884736
WBGene00006586,tni-4,0.0,0.03,0.03,0.0,-0.0008249809833546163
WBGene00021883,Y54G2A.18,0.01,0.03,0.03,-0.000121971015542432,-0.00011557391208503016
WBGene00018812,sumv-2,0.01,0.03,0.03,-3.986262399876968e-05,0.0005294351768418061
WBGene00000055,acr-16,0.0,0.03,0.03,0.0,-0.0010920943479301394
WBGene00022470,mrpl-19,0.01,0.03,0.03,-0.00011419089137161301,0.0006604302454863492
WBGene00017002,D1007.4,0.0,0.03,0.03,0.0,0.0003035855239532377
WBGene00018516,gakh-1,0.03,0.02,0.03,0.0003637378341649547,-8.461323615765833e-05
WBGene00017835,F26F12.4,0.01,0.03,0.03,-0.0001805839900603293,0.0029589831531483244
WBGene00003858,ogt-1,0.03,0.0,0.03,0.0019656904725944306,0.0
WBGene00002146,ipp-5,0.01,0.03,0.03,0.0001891669067376824,-0.0005171470094629913
WBGene00015803,C15H9.9,0.03,0.0,0.03,0.0003566819592694811,0.0
WBGene00015403,clec-10,0.0,0.03,0.03,0.0,0.0007924366440076968
WBGene00007054,scpl-1,0.03,0.01,0.03,-0.00047108303803305226,8.305221769980705e-05
WBGene00077526,C25A1.16,0.03,0.0,0.03,2.3839403033341862e-05,0.0
WBGene00007712,mrpl-34,0.03,0.0,0.03,-8.37161403613183e-05,0.0
WBGene00017035,D1065.3,0.03,0.0,0.03,0.0018286269997449445,0.0
WBGene00011954,T23F11.2,0.0,0.03,0.03,0.0,-0.0019227258555879429
WBGene00044527,Y39H10B.2,0.0,0.03,0.03,0.0,0.0010661625968760415
WBGene00020392,knl-3,0.03,0.0,0.03,0.0032542492573566467,0.0
WBGene00020475,sut-1,0.03,0.0,0.03,3.106398002075731e-06,0.0
WBGene00021103,eri-3,0.01,0.03,0.03,-7.965795359629839e-05,-0.0004723540148275124
WBGene00012360,tat-3,0.0,0.03,0.03,0.0,0.0011388602197786662
WBGene00018877,aman-1,0.03,0.0,0.03,-0.0005853273275560382,0.0
WBGene00003056,lon-2,0.0,0.03,0.03,0.0,0.0009594040522654752
WBGene00017542,F17E9.5,0.03,0.0,0.03,-0.0009607263269152456,0.0
WBGene00001751,gst-3,0.03,0.02,0.03,0.0002051661738593558,-0.00047093511026754007
WBGene00001938,his-64,0.02,0.03,0.03,0.0003226827467849097,0.003365477376119342
WBGene00017160,F01F1.3,0.0,0.03,0.03,0.0,0.001511110744512569
WBGene00004944,sol-1,0.03,0.0,0.03,-0.0002746187260074501,0.0
WBGene00020853,fbxa-137,0.03,0.0,0.03,0.0013282552437400912,0.0
WBGene00020849,nhr-225,0.0,0.03,0.03,0.0,-0.0004846293147362659
WBGene00009284,F31C3.2,0.0,0.03,0.03,0.0,-0.00041486362521626186
WBGene00020798,T25D3.4,0.03,0.0,0.03,-0.0004168105290086576,0.0
WBGene00017038,dmsr-4,0.0,0.03,0.03,0.0,-0.00030365663690128374
WBGene00019187,H11E01.2,0.03,0.0,0.03,0.001747477250446936,0.0
WBGene00018060,arrd-18,0.0,0.03,0.03,0.0,0.002073057215560389
WBGene00022254,nlp-71,0.0,0.03,0.03,0.0,0.0013650342930738284
WBGene00021078,unc-132,0.03,0.0,0.03,0.0008159691369533904,0.0
WBGene00017508,F16B4.6,0.03,0.0,0.03,-0.000675148365210124,0.0
WBGene00007048,nfx-1,0.03,0.0,0.03,-0.0003244001011816218,0.0
WBGene00015814,oatr-1,0.0,0.03,0.03,0.0,-0.0001302685349220573
WBGene00006714,ubc-19,0.03,0.0,0.03,0.0005271141816279245,0.0
WBGene00017745,F23F1.4,0.01,0.03,0.03,-2.2442095678968462e-06,0.0002026479620983204
WBGene00020823,T26A5.8,0.03,0.0,0.03,-0.0004364612285964821,0.0
