FilePath,Tag,Text
./data/temp/Serotonin_GJ.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/Serotonin_GJ.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/Serotonin_GJ.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/Serotonin_GJ.xml,{http://morphml.org/metadata/schema}notes,Description of an electrical synapse at a gap junction
./data/temp/VB10.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/AIBL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/GABA.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
./data/temp/GABA.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/GABA.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/GABA.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/GABA.xml,{http://morphml.org/metadata/schema}notes,"Simple example of a synaptic mechanism, which consists of a postsynaptic conductance which changes as 
        double exponential function of time."
./data/temp/BDUL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/CEPDL.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/ElectSyn.xml,{http://morphml.org/metadata/schema}notes,ChannelML file describing a single synaptic mechanism
./data/temp/ElectSyn.xml,{http://morphml.org/metadata/schema}contributor,
./data/temp/ElectSyn.xml,{http://morphml.org/metadata/schema}name,Padraig Gleeson
./data/temp/ElectSyn.xml,{http://morphml.org/metadata/schema}comment,Note: This is not (yet) based on experimental data from C. elegans
./data/temp/ElectSyn.xml,{http://morphml.org/metadata/schema}notes,Electrical connection from a cell with chemical synapse(s) of type: Serotonin_Acetylcholine
./data/temp/HSNL.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/DA2.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/VC6.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/RIFR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/VD9.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/PVDR.morph.xml,{http://morphml.org/metadata/schema}notes,SensoryNeuron
./data/temp/BDUR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/DA7.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
./data/temp/ADAR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/I1L.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/AVKR.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/AVKL.morph.xml,{http://morphml.org/metadata/schema}notes,Interneuron
./data/temp/VB8.morph.xml,{http://morphml.org/metadata/schema}notes,Motor Neuron
