,Gene_Idx,Saliency
20540,20540,5.174461e-05
1051,1051,5.1742496e-05
13509,13509,5.1725612e-05
9389,9389,5.172396e-05
5172,5172,5.1718063e-05
9043,9043,5.171703e-05
9765,9765,5.1712825e-05
8339,8339,5.1710715e-05
14558,14558,5.1705265e-05
9852,9852,5.1704785e-05
2525,2525,5.1700314e-05
15277,15277,5.1696676e-05
3897,3897,5.169471e-05
4092,4092,5.1690007e-05
15063,15063,5.168703e-05
13829,13829,5.1680814e-05
17487,17487,5.1679275e-05
9510,9510,5.1674782e-05
15432,15432,5.1666993e-05
2382,2382,5.16619e-05
1007,1007,5.166189e-05
20795,20795,5.1656556e-05
13275,13275,5.1652285e-05
10432,10432,5.1651303e-05
9191,9191,5.1646988e-05
15297,15297,5.1643532e-05
323,323,5.16426e-05
17852,17852,5.163888e-05
7069,7069,5.1637893e-05
16654,16654,5.163764e-05
11549,11549,5.1633666e-05
5041,5041,5.162996e-05
14714,14714,5.162326e-05
17347,17347,5.1620646e-05
10119,10119,5.1617917e-05
8694,8694,5.1609022e-05
1326,1326,5.1608335e-05
21377,21377,5.1605843e-05
13648,13648,5.1603278e-05
146,146,5.1592302e-05
11431,11431,5.157386e-05
4202,4202,5.157061e-05
6509,6509,5.155585e-05
19824,19824,5.1554787e-05
16992,16992,5.1552062e-05
17076,17076,5.1544317e-05
10598,10598,5.153869e-05
3780,3780,5.1529667e-05
10026,10026,5.152706e-05
19556,19556,5.1523315e-05
6251,6251,5.1521547e-05
12100,12100,5.151886e-05
5637,5637,5.1515777e-05
20945,20945,5.151479e-05
2910,2910,5.150778e-05
7163,7163,5.1493364e-05
20573,20573,5.1491446e-05
12213,12213,5.1491148e-05
8806,8806,5.148928e-05
11515,11515,5.147346e-05
5054,5054,5.146867e-05
9069,9069,5.146663e-05
6950,6950,5.1455725e-05
7684,7684,5.1449966e-05
5860,5860,5.1449657e-05
16236,16236,5.1443476e-05
4194,4194,5.1443232e-05
13849,13849,5.143944e-05
12999,12999,5.1436007e-05
2660,2660,5.1434927e-05
14802,14802,5.142649e-05
1806,1806,5.142477e-05
18829,18829,5.1422958e-05
10501,10501,5.1417035e-05
10466,10466,5.1416257e-05
