Neuron,Cluster,TSNE_1,TSNE_2,NeuronName,Canonical
Neuron_376,0,16.464401,-15.447173,Unlabeled,❌
Neuron_377,0,-7.259012,-20.440033,Unlabeled,❌
Neuron_378,0,4.6147785,7.4376616,Unlabeled,❌
Neuron_379,0,5.58307,-23.071056,Unlabeled,❌
Neuron_380,0,25.556211,1.979408,Unlabeled,❌
Neuron_381,0,-5.2503195,5.3144355,Unlabeled,❌
Neuron_382,0,9.643547,-17.945162,Unlabeled,❌
Neuron_383,0,1.825124,7.670925,Unlabeled,❌
Neuron_384,6,-10.768557,-14.3624115,Unlabeled,❌
Neuron_385,0,0.09976883,-14.918448,Unlabeled,❌
Neuron_386,6,-18.026697,-9.028217,Unlabeled,❌
Neuron_387,0,17.285988,9.45184,Unlabeled,❌
Neuron_388,0,27.539045,0.6857872,Unlabeled,❌
Neuron_389,6,-14.070067,-20.304035,Unlabeled,❌
Neuron_390,0,34.36159,10.061379,Unlabeled,❌
Neuron_391,0,11.456788,-18.412773,Unlabeled,❌
Neuron_392,0,-1.7569906,6.8986454,Unlabeled,❌
Neuron_393,0,12.323874,-20.721199,Unlabeled,❌
Neuron_394,6,-34.822624,4.8301167,Unlabeled,❌
Neuron_395,0,36.098637,11.122081,Unlabeled,❌
Neuron_396,0,1.0460714,-22.452234,Unlabeled,❌
Neuron_397,0,-1.2043946,9.389445,Unlabeled,❌
Neuron_398,0,-2.983351,-24.493828,Unlabeled,❌
Neuron_399,6,-20.19252,4.4003234,Unlabeled,❌
Neuron_400,0,26.993933,-6.1523924,Unlabeled,❌
Neuron_401,6,-26.178669,-4.9367394,Unlabeled,❌
Neuron_402,0,-6.7790318,-22.562593,Unlabeled,❌
Neuron_403,0,27.495045,-1.3799078,Unlabeled,❌
Neuron_404,6,-16.768654,-14.461155,Unlabeled,❌
Neuron_405,0,-8.187248,-20.842941,Unlabeled,❌
Neuron_406,0,-0.8891994,-16.117964,Unlabeled,❌
Neuron_407,0,-3.2343183,11.227149,Unlabeled,❌
Neuron_408,0,15.235563,-19.200108,Unlabeled,❌
Neuron_409,0,23.987036,-3.3522878,Unlabeled,❌
Neuron_410,0,13.325714,-16.111694,Unlabeled,❌
Neuron_411,0,0.07788767,6.3514843,Unlabeled,❌
Neuron_412,6,-27.717726,9.248593,Unlabeled,❌
Neuron_413,0,35.443092,13.910596,Unlabeled,❌
Neuron_414,0,-3.5527503,4.568943,Unlabeled,❌
Neuron_415,0,26.502897,-6.600422,Unlabeled,❌
Neuron_416,6,-7.320376,4.761233,Unlabeled,❌
Neuron_417,0,2.81728,-19.409565,Unlabeled,❌
