gene,integrated_gradients
WBGene00011035,2.2757695e-07
WBGene00013685,2.2755246e-07
WBGene00021492,2.2752933e-07
WBGene00012131,2.2745022e-07
WBGene00008000,2.2744962e-07
WBGene00001040,2.2742574e-07
WBGene00000284,2.2726461e-07
WBGene00002232,2.2717612e-07
WBGene00014096,2.2702591e-07
WBGene00011543,2.2702278e-07
WBGene00007824,2.2699159e-07
WBGene00003373,2.2650715e-07
WBGene00003929,2.2643508e-07
WBGene00006910,2.2641767e-07
WBGene00021756,2.2632679e-07
WBGene00012348,2.2631244e-07
WBGene00009527,2.262975e-07
WBGene00022855,2.2598684e-07
WBGene00002278,2.2598306e-07
WBGene00014202,2.2589046e-07
WBGene00021838,2.2574075e-07
WBGene00022745,2.2574027e-07
WBGene00198300,2.2568395e-07
WBGene00006718,2.256075e-07
WBGene00012920,2.2547243e-07
WBGene00000374,2.2525566e-07
WBGene00009272,2.2510558e-07
WBGene00017711,2.2507264e-07
WBGene00022134,2.250362e-07
WBGene00009116,2.2496408e-07
WBGene00008777,2.2494986e-07
WBGene00021395,2.2491797e-07
WBGene00004738,2.2487342e-07
WBGene00006352,2.2483047e-07
WBGene00013577,2.2477089e-07
WBGene00196872,2.2468345e-07
WBGene00007053,2.2467454e-07
WBGene00002023,2.2465571e-07
WBGene00003225,2.2459668e-07
WBGene00006383,2.2458227e-07
WBGene00022127,2.2454383e-07
WBGene00006863,2.2451128e-07
WBGene00022848,2.2449721e-07
WBGene00000192,2.2445724e-07
WBGene00002991,2.243268e-07
WBGene00000472,2.242375e-07
WBGene00003247,2.2421897e-07
WBGene00011723,2.2419653e-07
WBGene00004512,2.241816e-07
WBGene00010911,2.2415473e-07
WBGene00015328,2.2407583e-07
WBGene00016258,2.2405459e-07
WBGene00003041,2.239545e-07
WBGene00015504,2.2385554e-07
WBGene00007902,2.2384553e-07
WBGene00004349,2.2384278e-07
WBGene00006774,2.2382012e-07
WBGene00020629,2.2379442e-07
WBGene00007877,2.237927e-07
WBGene00011237,2.2377726e-07
WBGene00003221,2.2374608e-07
WBGene00006575,2.2370305e-07
WBGene00003052,2.236974e-07
WBGene00013876,2.2360342e-07
WBGene00002016,2.2359701e-07
WBGene00012466,2.2359183e-07
WBGene00022791,2.2352847e-07
WBGene00199558,2.2349185e-07
WBGene00006961,2.2340251e-07
WBGene00001612,2.2334912e-07
WBGene00013128,2.2333087e-07
WBGene00003661,2.2321917e-07
WBGene00008488,2.2316478e-07
WBGene00002017,2.2311193e-07
WBGene00004781,2.2302885e-07
WBGene00021271,2.2285181e-07
WBGene00017766,2.2282518e-07
WBGene00006373,2.2280265e-07
WBGene00017769,2.2264615e-07
WBGene00010159,2.2257473e-07
WBGene00020087,2.2249381e-07
WBGene00003868,2.2244511e-07
WBGene00007703,2.223869e-07
WBGene00015687,2.2237721e-07
WBGene00020580,2.2229513e-07
WBGene00012360,2.222108e-07
WBGene00011351,2.2218303e-07
WBGene00009927,2.2204729e-07
WBGene00002184,2.2204568e-07
WBGene00021629,2.2202269e-07
WBGene00019733,2.2196886e-07
WBGene00012558,2.2192825e-07
WBGene00011980,2.2191212e-07
WBGene00044443,2.2186735e-07
WBGene00008780,2.21767e-07
WBGene00003619,2.2169208e-07
WBGene00008130,2.2155469e-07
WBGene00201549,2.2145532e-07
WBGene00001091,2.2145508e-07
WBGene00004467,2.2141371e-07
WBGene00000812,2.2136895e-07
WBGene00021334,2.2132114e-07
WBGene00003831,2.2131968e-07
WBGene00006618,2.2121226e-07
WBGene00001172,2.2116622e-07
WBGene00019831,2.2099738e-07
WBGene00006741,2.2096285e-07
WBGene00012058,2.208618e-07
WBGene00016407,2.2082135e-07
WBGene00022390,2.207288e-07
WBGene00008263,2.2066479e-07
WBGene00021509,2.2064424e-07
WBGene00017785,2.206247e-07
WBGene00004951,2.2040989e-07
WBGene00019167,2.2036618e-07
WBGene00009925,2.2035219e-07
WBGene00021044,2.202919e-07
WBGene00019134,2.2023445e-07
WBGene00018074,2.2018189e-07
WBGene00013897,2.2016114e-07
WBGene00011045,2.2014777e-07
WBGene00019466,2.2001838e-07
WBGene00196611,2.1996959e-07
WBGene00019787,2.1993012e-07
WBGene00006481,2.1989489e-07
WBGene00019462,2.1988194e-07
WBGene00010481,2.1977418e-07
WBGene00008971,2.1975775e-07
WBGene00022762,2.1971809e-07
WBGene00004108,2.1969201e-07
WBGene00019402,2.1968107e-07
WBGene00018290,2.1965027e-07
WBGene00016209,2.1964163e-07
WBGene00012352,2.1960754e-07
WBGene00009665,2.1950832e-07
WBGene00019900,2.1949343e-07
WBGene00003053,2.1938911e-07
WBGene00002275,2.193568e-07
WBGene00023066,2.1929641e-07
WBGene00012605,2.1924824e-07
WBGene00003822,2.1921207e-07
WBGene00008218,2.1919523e-07
WBGene00198571,2.1901046e-07
WBGene00166811,2.1893581e-07
WBGene00018281,2.1888506e-07
WBGene00004918,2.1888025e-07
WBGene00220044,2.1885809e-07
WBGene00016206,2.1884475e-07
WBGene00012735,2.1880179e-07
WBGene00001851,2.1872209e-07
WBGene00195868,2.1856624e-07
WBGene00004958,2.1849041e-07
WBGene00001678,2.1832042e-07
WBGene00017796,2.1827911e-07
WBGene00016448,2.1823709e-07
WBGene00016150,2.1815953e-07
WBGene00014017,2.181442e-07
WBGene00017159,2.1811334e-07
WBGene00004927,2.1807686e-07
WBGene00017818,2.1805214e-07
WBGene00012990,2.1804465e-07
WBGene00044467,2.1804055e-07
WBGene00021596,2.1796136e-07
WBGene00001153,2.179558e-07
WBGene00012895,2.1791716e-07
WBGene00012259,2.1780937e-07
WBGene00017811,2.1780092e-07
WBGene00206464,2.1779448e-07
WBGene00003061,2.1778247e-07
WBGene00021945,2.1777855e-07
WBGene00004186,2.1770671e-07
WBGene00011319,2.1769948e-07
WBGene00011955,2.175201e-07
WBGene00206459,2.17485e-07
WBGene00007128,2.1748039e-07
WBGene00044319,2.1735337e-07
WBGene00009141,2.171645e-07
WBGene00004040,2.1709839e-07
WBGene00011696,2.1707368e-07
WBGene00015750,2.1701206e-07
WBGene00009588,2.1698987e-07
WBGene00000836,2.1697385e-07
WBGene00004769,2.1692901e-07
WBGene00017828,2.1692404e-07
