Neuron,total_3node_motifs,as_source,as_target
AS01 ,105,0,0
AS02 ,78,0,0
AS03 ,21,0,0
AS04 ,66,0,0
AS05 ,21,0,0
AS06 ,55,0,0
AS07 ,10,0,0
AS08 ,10,0,0
AS09 ,10,0,0
AS10 ,120,0,0
AS11 ,210,0,0
PDB ,105,0,0
DD01 ,190,0,0
DD02 ,91,0,0
DD03 ,91,0,0
DD04 ,55,0,0
DD05 ,36,0,0
DD06 ,231,0,0
VA01 ,45,0,0
VA02 ,231,0,0
VA03 ,210,0,0
VA04 ,136,0,0
VA05 ,66,0,0
VA06 ,210,0,0
VA07 ,136,0,0
VA08 ,171,0,0
 vBWML17       ,15,0,0
 vBWML18       ,21,0,0
 vBWMR17       ,10,0,0
 vBWMR18       ,21,0,0
VA09 ,153,0,0
 VB07          ,3,0,0
 VB08          ,3,0,0
 vBWML19       ,28,0,0
 vBWMR19       ,15,0,0
VA10 ,276,0,0
 VB09          ,1,0,0
 vBWML20       ,28,0,0
 vBWMR21       ,28,0,0
VA11 ,435,0,0
 VB10          ,1,0,0
 vBWML21       ,28,0,0
 vBWMR22       ,21,0,0
 vBWMR23       ,10,0,0
VA12 ,666,0,0
 vBWML22       ,10,0,0
 vBWML23       ,3,0,0
 vBWMR24       ,1,0,0
VB01 ,171,0,0
VB02 ,190,0,0
VB03 ,153,0,0
VB04 ,190,0,0
VB05 ,91,0,0
VB06 ,120,0,0
VB07 ,105,0,0
VB08 ,105,0,0
VB09 ,120,0,0
VB10 ,253,0,0
VB11 ,276,0,0
VD01 ,66,0,0
VD02 ,153,0,0
VD03 ,78,0,0
VD04 ,45,0,0
VD05 ,91,0,0
VD06 ,78,0,0
VD07 ,55,0,0
VD08 ,55,0,0
VD09 ,66,0,0
VD10 ,45,0,0
VD11 ,253,0,0
VD12 ,325,0,0
VD13 ,378,0,0
HSNL ,703,0,0
 VC05          ,6,0,0
 vm2aL         ,6,0,0
 vm2aR         ,6,0,0
 vm2pL         ,6,0,0
 vm2pR         ,6,0,0
HSNR ,1176,0,0
 VC04          ,1,0,0
VC01 ,276,0,0
VC02 ,435,0,0
VC03 ,780,0,0
VC04 ,66,0,0
VC05 ,153,0,0
VC06 ,105,0,0
 I2L         ,3,0,0
 M3L         ,10,0,0
 MCR         ,6,0,0
 NSML        ,1,0,0
 pm4vl       ,15,0,0
 RIPL        ,21,0,0
 I2R         ,10,0,0
 I3          ,10,0,0
 NSMR        ,15,0,0
 pm3vr       ,6,0,0
 pm4vr       ,15,0,0
 RIPR        ,3,0,0
 I1L         ,15,0,0
 I4          ,6,0,0
 M2L         ,15,0,0
 I1R         ,21,0,0
 M1          ,3,0,0
 M2R         ,21,0,0
 MI          ,3,0,0
 pm4d        ,21,0,0
 pm5d        ,55,0,0
 M4          ,28,0,0
 pm5vl       ,36,0,0
 M5          ,10,0,0
 I5          ,3,0,0
 MCL         ,0,0,0
 M3R         ,10,0,0
 pm5vr       ,15,0,0
 I6          ,0,0,0
 pm6vr       ,6,0,0
pm1d ,0,0,0
 pm2d        ,1,0,0
pm1vl ,0,0,0
 pm2vl       ,1,0,0
pm1vr ,0,0,0
 pm2vr       ,1,0,0
pm2d ,1,0,0
 pm1d        ,0,0,0
 pm3d        ,6,0,0
pm2vl ,1,0,0
 pm1vl       ,0,0,0
 pm3vl       ,6,0,0
pm2vr ,1,0,0
 pm1vr       ,0,0,0
pm3d ,6,0,0
 mc1dl       ,10,0,0
 mc1dr       ,6,0,0
pm3vl ,6,0,0
 mc1v        ,6,0,0
pm3vr ,6,0,0
pm4d ,21,0,0
pm4vl ,15,0,0
pm4vr ,15,0,0
pm5d ,55,0,0
 pm6d        ,3,0,0
 mc2dl       ,6,0,0
 mc2dr       ,6,0,0
pm5vl ,36,0,0
 pm6vl       ,3,0,0
 mc2v        ,1,0,0
pm5vr ,15,0,0
pm6d ,3,0,0
 mc3dl       ,15,0,0
 mc3dr       ,15,0,0
pm6vl ,3,0,0
 mc3v        ,10,0,0
pm6vr ,6,0,0
pm7d ,3,0,0
 pm8         ,15,0,0
pm7vl ,3,0,0
pm7vr ,3,0,0
pm8 ,15,0,0
 pm7d        ,3,0,0
 pm7vl       ,3,0,0
 pm7vr       ,3,0,0
mc1dl ,10,0,0
mc1dr ,6,0,0
mc1v ,6,0,0
mc2dl ,6,0,0
mc2dr ,6,0,0
