Motif,Gene,partial_spearman_r,p,q_bh,n_rows
"(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan_nan",WBGene00017156,-0.5216272026831222,3.7464224135521584e-05,0.672520287456748,60
"(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00010994,0.5209262384494531,3.853931563683479e-05,0.3459096274984106,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan",WBGene00196235,0.5207685631872525,3.878503379697786e-05,0.3481150708447748,60
"(0, 1)_(2, 0)_nan_nan_nan_nan_nan_nan_nan",WBGene00006222,0.5207394730090451,3.883052491514104e-05,0.4251196959146707,60
"(0, 1)_(0, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00016370,-0.5206548883140695,3.896307781009895e-05,0.6994262097690863,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",WBGene00020036,-0.5205189062276017,3.917705046802827e-05,0.2344224109838584,60
"(0, 2)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00011039,-0.5203216004908897,3.948944506300788e-05,0.3544375141630272,60
"(0, 0)_(0, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",WBGene00022455,0.5201818687647266,3.9712070015360367e-05,0.6682111195358398,60
"(0, 1)_(0, 2)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00000237,0.5201035519162217,3.983735230491741e-05,0.3575601556127862,60
"(0, 1)_(0, 2)_(1, 0)_(2, 2)_nan_nan_nan_nan_nan",WBGene00000971,0.5200139452568148,3.998114164014531e-05,0.7177014735822485,60
"(0, 2)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00018115,-0.5197943736906688,4.033550714586942e-05,0.2413542295918339,60
"(0, 0)_(0, 1)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",WBGene00021597,0.519699542926605,4.0489447495372814e-05,0.5099674933134171,60
"(0, 1)_(1, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00011607,0.5196056777435683,4.064235359263389e-05,0.3647854446706855,60
"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00219646,-0.5196029180906255,4.064685710324743e-05,0.2603166905597731,60
"(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00021271,-0.5195919128983153,4.066482118362578e-05,0.7299742050672664,60
"(0, 1)_(0, 2)_(1, 0)_(1, 1)_nan_nan_nan_nan_nan",WBGene00015073,0.5191348527298232,4.141738921976534e-05,0.3717417769420038,60
"(0, 0)_(0, 1)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00003171,-0.5191220359928129,4.143867634911732e-05,0.3719328395715024,60
"(0, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan_nan",WBGene00021070,-0.5187977593773712,4.198062956834576e-05,0.709312649241942,60
"(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",WBGene00220233,0.5185251779347654,4.244123181752959e-05,0.2539541841188245,60
"(0, 1)_(0, 2)_(1, 1)_(2, 1)_nan_nan_nan_nan_nan",WBGene00023467,0.5183937409379282,4.266499155241689e-05,0.3829396316787178,60
"(0, 0)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan_nan",WBGene00017557,0.5183115679192536,4.280543557348379e-05,0.624316569628938,60
"(0, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan_nan",WBGene00045367,-0.5182129074221759,4.297462159028672e-05,0.3902435306369139,60
"(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00001007,-0.5180117989418004,4.3321398455502914e-05,0.7776624236747328,60
"(0, 1)_(1, 0)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",WBGene00003646,-0.5179061840099426,4.3504544130094114e-05,0.2603166905597731,60
"(1, 0)_(1, 1)_(2, 0)_(2, 2)_nan_nan_nan_nan_nan",WBGene00022544,0.5178021707634202,4.368560943844983e-05,0.4673362438776095,60
"(0, 2)_(1, 1)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00003759,0.5176923954978173,4.387745821060953e-05,0.4789491105720139,60
"(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",WBGene00219609,0.5172028323111576,4.47425317871771e-05,0.2677243960372053,60
"(0, 0)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00010033,-0.5171323981703392,4.486827617402521e-05,0.404007697777058,60
"(1, 0)_(1, 2)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",WBGene00003813,0.5168953072278354,4.529394554032123e-05,0.8130716163943065,60
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 1)_(2, 0)_nan_nan_nan",WBGene00197308,-0.5166613620432129,4.571761106833504e-05,0.8206768362876822,60
"(0, 1)_(0, 2)_(1, 0)_(2, 1)_nan_nan_nan_nan_nan",WBGene00011235,0.5165651395103877,4.589292349169916e-05,0.2746079565331639,60
"(0, 0)_(0, 1)_(1, 0)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan",WBGene00009763,0.5164753878731169,4.605700432108565e-05,0.8267692845678086,60
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan",WBGene00008849,0.516457401629739,4.608995107960413e-05,0.3273074301173165,60
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan_nan",WBGene00020378,0.5164273853363552,4.61449825425803e-05,0.3727165278939434,60
