,003,012,102,021D,021U,021C,111D,111U,030T,030C,201,120D,120U,120C,210,300
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(2, 2)_nan_nan_nan_nan",126888,1858,0,32,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 0)_(2, 0)_nan_nan_nan_nan_nan_nan",124052,4494,0,211,21,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 2)_(2, 0)_nan_nan_nan_nan",125880,2862,0,33,3,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan",126863,1908,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(1, 2)_(2, 1)_nan_nan_nan_nan_nan",125002,3606,0,160,10,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 1)_(1, 2)_(2, 0)_nan_nan_nan",126482,2164,0,131,1,0,0,0,0,0,0,0,0,0,0,0
PC59,126891,1852,0,0,35,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 0)_(1, 2)_nan_nan_nan_nan_nan",122525,6030,0,178,45,0,0,0,0,0,0,0,0,0,0,0
PC42,125908,2806,0,3,61,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(0, 2)_(2, 0)_(2, 1)_nan_nan_nan_nan_nan",124939,3732,0,97,10,0,0,0,0,0,0,0,0,0,0,0
PC92,124448,4208,0,15,107,0,0,0,0,0,0,0,0,0,0,0
PC48,124476,4152,0,15,135,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 2)_(1, 1)_(1, 2)_(2, 2)_nan_nan_nan_nan",123556,4980,0,214,28,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",124396,4312,0,55,15,0,0,0,0,0,0,0,0,0,0,0
PC22,120547,7962,0,91,178,0,0,0,0,0,0,0,0,0,0,0
PC2,122959,5668,0,36,115,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(0, 1)_(0, 2)_(1, 0)_(1, 2)_(2, 0)_(2, 1)_nan_nan",126457,2214,0,106,1,0,0,0,0,0,0,0,0,0,0,0
"(1, 0)_(1, 2)_(2, 0)_nan_nan_nan_nan_nan_nan",125411,3294,0,67,6,0,0,0,0,0,0,0,0,0,0,0
"(0, 0)_(1, 2)_(2, 0)_(2, 1)_(2, 2)_nan_nan_nan_nan",121112,7338,0,250,78,0,0,0,0,0,0,0,0,0,0,0
PC102,126410,2308,0,1,59,0,0,0,0,0,0,0,0,0,0,0
"(0, 1)_(1, 1)_(2, 1)_(2, 2)_nan_nan_nan_nan_nan",124381,4342,0,40,15,0,0,0,0,0,0,0,0,0,0,0
PC55,125891,2840,0,3,44,0,0,0,0,0,0,0,0,0,0,0
