Neuron,Unclassified ❓
 pm2vl       ,4.0
 pm3vl       ,19.0
 pm2vr       ,4.0
 pm2d        ,4.0
 mc3dl       ,31.0
 mc3dr       ,32.0
 mc3v        ,24.0
 pm8         ,35.0
 pm7vr       ,17.0
pm7d ,18.0
pm8 ,35.0
pm7vr ,17.0
 vBWML7      ,4.0
 um1aR       ,16.0
 vm1aL       ,10.0
 vm1pL       ,10.0
 vm1pR       ,10.0
 vBWML6      ,3.0
 vBWML10     ,4.0
 dBWML11     ,3.0
dBWML12 ,3.0
 dBWML13     ,3.0
dBWML14 ,3.0
 dBWML15     ,3.0
dBWML16 ,3.0
 dBWML17     ,3.0
 dBWML19     ,3.0
dBWML20 ,3.0
 dBWML21     ,3.0
dBWMR1 ,4.0
 dBWMR3      ,6.0
 dBWMR2      ,4.0
dBWMR3 ,6.0
dBWMR2 ,4.0
dBWMR4 ,4.0
 dBWMR1      ,4.0
 dBWMR5      ,3.0
 dBWMR7      ,3.0
dBWMR8 ,3.0
 dBWMR9      ,3.0
 dBWMR10     ,3.0
dBWMR11 ,3.0
 dBWMR12     ,3.0
 dBWMR17     ,3.0
 dBWMR18     ,3.0
dBWMR18 ,3.0
 dBWMR19     ,3.0
dBWMR19 ,3.0
 dBWMR20     ,3.0
 dBWMR21     ,3.0
dBWMR21 ,3.0
 dBWMR22     ,3.0
dBWMR22 ,3.0
 dBWMR23     ,2.0
 vBWML2      ,4.0
vBWML3 ,6.0
 vBWML4      ,4.0
 vBWML5      ,3.0
vBWML5 ,3.0
vBWML6 ,3.0
vBWML11 ,3.0
 vBWML12     ,3.0
 vBWML13     ,3.0
vBWML13 ,3.0
 vBWML14     ,3.0
vBWML14 ,3.0
 vBWML15     ,3.0
vBWML15 ,3.0
 vBWML16     ,3.0
 vBWML17     ,3.0
vBWML17 ,3.0
 vBWML18     ,3.0
vBWML18 ,3.0
 vBWML19     ,3.0
 vBWML20     ,3.0
vBWML20 ,3.0
 vBWML21     ,3.0
vBWML21 ,3.0
 vBWML22     ,2.0
vBWMR1 ,4.0
 vBWMR3      ,6.0
