wbgene,symbol,sequence
WBGene00014078,ZK792.5,ZK792.5
WBGene00002335,let-60,let-60
WBGene00011723,T12A7.2,T12A7.2
WBGene00010350,H01G02.3,H01G02.3
WBGene00010918,M117.1,M117.1
WBGene00003920,par-5,par-5
WBGene00006415,tag-30,tag-30
WBGene00001151,ech-2,ech-2
WBGene00002363,let-92,let-92
WBGene00014095,gdh-1,gdh-1
WBGene00014096,ZK829.7,ZK829.7
WBGene00011737,sqst-1,sqst-1
WBGene00005015,spt-5,spt-5
WBGene00008682,lex-1,lex-1
WBGene00008683,repo-1,repo-1
WBGene00008684,mig-32,mig-32
WBGene00008686,F11A10.5,F11A10.5
WBGene00008685,mon-2,mon-2
WBGene00010889,M18.3,M18.3
WBGene00000703,col-129,col-129
WBGene00010890,ddb-1,ddb-1
WBGene00000122,aly-3,aly-3
WBGene00010892,dhhc-6,dhhc-6
WBGene00007089,B0001.4,B0001.4
WBGene00007093,B0001.8,B0001.8
WBGene00007090,B0001.5,B0001.5
WBGene00007091,eri-12,eri-12
WBGene00009436,marb-1,marb-1
WBGene00012710,Y39C12A.9,Y39C12A.9
WBGene00004448,rpl-34,rpl-34
WBGene00016582,vps-8,vps-8
WBGene00016591,C42C1.13,C42C1.13
WBGene00016590,C42C1.12,C42C1.12
WBGene00302978,C42C1.19,C42C1.19
WBGene00006733,ufd-1,ufd-1
WBGene00000376,ccr-4,ccr-4
WBGene00004492,rps-23,rps-23
WBGene00009219,dpm-3,dpm-3
WBGene00001580,gex-3,gex-3
WBGene00008582,F08G5.3,F08G5.3
WBGene00007730,C25G4.2,C25G4.2
WBGene00007736,igdb-2,igdb-2
WBGene00001865,him-6,him-6
WBGene00014083,ZK795.3,ZK795.3
WBGene00010671,eak-7,eak-7
WBGene00002002,hsb-1,hsb-1
WBGene00010674,K08E7.6,K08E7.6
WBGene00010675,K08E7.8,K08E7.8
WBGene00013224,Y55D9A.2,Y55D9A.2
WBGene00013223,efa-6,efa-6
WBGene00007752,wdfy-3,wdfy-3
WBGene00011941,T23B5.4,T23B5.4
WBGene00011939,prmt-9,prmt-9
WBGene00007780,C27D8.4,C27D8.4
WBGene00001452,flp-9,flp-9
WBGene00006767,unc-31,unc-31
WBGene00008554,F07C6.3,F07C6.3
WBGene00008553,F07C6.2,F07C6.2
WBGene00010827,M02B1.2,M02B1.2
WBGene00003150,mbk-2,mbk-2
WBGene00000706,col-132,col-132
WBGene00008034,prcc-1,prcc-1
WBGene00004339,rfc-3,rfc-3
WBGene00001007,dli-1,dli-1
WBGene00007202,B0564.2,B0564.2
WBGene00008177,C48D1.1,C48D1.1
WBGene00006466,tag-115,tag-115
WBGene00004424,rpl-12,rpl-12
WBGene00010436,JC8.4,JC8.4
WBGene00010437,cox-11,cox-11
WBGene00006763,unc-26,unc-26
WBGene00013460,cpsf-3,cpsf-3
WBGene00013465,Y67H2A.10,Y67H2A.10
WBGene00013461,Y67H2A.2,Y67H2A.2
WBGene00013462,micu-1,micu-1
WBGene00013463,kdp-1,kdp-1
WBGene00000818,csn-6,csn-6
WBGene00013464,Y67H2A.7,Y67H2A.7
WBGene00001393,fat-1,fat-1
WBGene00000093,agt-1,agt-1
WBGene00004410,rla-2,rla-2
WBGene00013376,Y62E10A.6,Y62E10A.6
WBGene00003142,mau-8,mau-8
WBGene00013378,emc-3,emc-3
