from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,data_sources
ADEL,RIVR,"(-0.12, 87.97, 10.5)","(11.31, 64.38, -7.21)",sensory,inter,,1.2857142857142858,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,RMDDR,"(-0.12, 87.97, 10.5)","(-0.46, 56.06, -2.32)",sensory,motor,1.0,2.0,0.0,"['cook2019', 'funconn', 'witvliet2020_8']"
ADEL,RMDL,"(-0.12, 87.97, 10.5)","(3.32, 50.76, 8.18)",sensory,motor,,3.875,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,RMDR,"(-0.12, 87.97, 10.5)","(1.87, 52.31, -7.88)",sensory,motor,,1.0,,"['funconn', 'white1986_jsh', 'witvliet2020_7']"
ADEL,RMER,"(-0.12, 87.97, 10.5)","(7.16, 38.76, -7.87)",sensory,motor,1.0,1.0,0.0,"['cook2019', 'witvliet2020_7']"
ADEL,RMFR,"(-0.12, 87.97, 10.5)","(-2.4, 57.51, 0.07)",sensory,motor,,2.5,,"['witvliet2020_7', 'witvliet2020_8']"
ADEL,RMGL,"(-0.12, 87.97, 10.5)","(-0.45, 98.07, 9.18)",sensory,inter,,2.5,,"['cook2019', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADEL,RMHL,"(-0.12, 87.97, 10.5)","(-0.78, 58.16, 3.15)",sensory,motor,,1.0,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADEL,RMHR,"(-0.12, 87.97, 10.5)","(-1.22, 56.46, -0.14)",sensory,motor,,2.0,,"['cook2019', 'witvliet2020_8']"
ADEL,SAADR,"(-0.12, 87.97, 10.5)","(-0.86, 50.27, -0.39)",sensory,inter,,1.3333333333333333,,"['cook2019', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,SAAVL,"(-0.12, 87.97, 10.5)","(9.73, 49.05, 6.88)",sensory,inter,,1.0,,['witvliet2020_7']
ADEL,SDQL,"(-0.12, 87.97, 10.5)","(8.99, 559.25, -7.45)",sensory,inter,,1.0,,['witvliet2020_8']
ADEL,SIADR,"(-0.12, 87.97, 10.5)","(-2.23, 53.27, -1.59)",sensory,motor,,1.2,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole']"
ADEL,SIBDL,"(-0.12, 87.97, 10.5)","(1.28, 53.7, 6.25)",sensory,motor,1.0,,,['cook2019']
ADEL,SIBDR,"(-0.12, 87.97, 10.5)","(1.43, 54.5, -6.72)",sensory,motor,,1.1666666666666667,,"['chklovskii', 'cook2019', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole']"
ADEL,SIBVL,"(-0.12, 87.97, 10.5)","(-2.49, 59.54, 2.74)",sensory,motor,1.0,,,['cook2019']
ADEL,SIBVR,"(-0.12, 87.97, 10.5)","(-1.56, 53.46, -1.27)",sensory,motor,,2.0,,['witvliet2020_7']
ADEL,SMBDR,"(-0.12, 87.97, 10.5)","(-1.45, 60.22, -1.9)",sensory,motor,,1.2857142857142858,,"['chklovskii', 'cook2019', 'openworm', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADEL,SMBVL,"(-0.12, 87.97, 10.5)","(-2.88, 62.73, 3.55)",sensory,motor,,2.0,,['cook2019']
ADEL,SMDDR,"(-0.12, 87.97, 10.5)","(0.01, 54.1, -2.69)",sensory,motor,,1.0,,['witvliet2020_8']
ADEL,SMDVL,"(-0.12, 87.97, 10.5)","(10.92, 51.19, 7.29)",sensory,motor,,1.0,,['witvliet2020_8']
ADEL,URBL,"(-0.12, 87.97, 10.5)","(7.53, 34.05, 8.41)",sensory,sensory,,1.2,,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_n2u', 'white1986_whole']"
