from_neuron,to_neuron,from_pos,to_pos,from_type,to_type,mean_gap_weight,mean_chem_weight,uncertainty,functional_weight,data_sources
ADAR,AVG,"(-1.43, 91.22, -11.64)","(-9.44, 121.12, -1.76)",inter,inter,,,,0.06154933199286461,['funconn']
ADAR,AVHR,"(-1.43, 91.22, -11.64)","(8.96, 62.82, -9.77)",inter,inter,,,,-0.013602275401353836,['funconn']
ADAR,AVJL,"(-1.43, 91.22, -11.64)","(7.13, 65.08, 8.47)",inter,inter,,5.75,,0.056365638971328735,"['chklovskii', 'cook2019', 'funconn', 'openworm', 'white1986_jsh', 'white1986_n2u', 'white1986_whole', 'witvliet2020_7', 'witvliet2020_8']"
ADAR,AVKL,"(-1.43, 91.22, -11.64)","(-5.94, 87.39, 3.82)",inter,inter,,,,0.1253659576177597,['funconn']
ADAR,AWAL,"(-1.43, 91.22, -11.64)","(6.57, 57.58, 5.85)",inter,sensory,,,,0.04515732079744339,['funconn']
ADAR,AWBL,"(-1.43, 91.22, -11.64)","(8.3, 57.36, 8.52)",inter,sensory,,,,0.01974671334028244,['funconn']
ADAR,AWBR,"(-1.43, 91.22, -11.64)","(8.1, 57.4, -10.25)",inter,sensory,1.0,,,-0.007829958572983742,"['funconn', 'witvliet2020_8']"
ADAR,BAGL,"(-1.43, 91.22, -11.64)","(5.69, 38.69, 8.54)",inter,sensory,,,,-0.009464633651077747,['funconn']
ADAR,BAGR,"(-1.43, 91.22, -11.64)","(4.06, 39.43, -8.24)",inter,sensory,,,,0.034024931490421295,['funconn']
ADAR,CEPDR,"(-1.43, 91.22, -11.64)","(12.9, 50.28, -7.07)",inter,sensory,,,,-0.0014474430354312062,['funconn']
ADAR,CEPVR,"(-1.43, 91.22, -11.64)","(1.01, 40.68, -4.42)",inter,sensory,,,,0.0066635399125516415,['funconn']
ADAR,DB2,"(-1.43, 91.22, -11.64)","(-9.21, 99.22, 0.23)",inter,motor,,,,0.12895487248897552,['funconn']
ADAR,DVA,"(-1.43, 91.22, -11.64)","(10.96, 770.84, -1.61)",inter,inter,,1.0,,,['witvliet2020_7']
ADAR,FLPL,"(-1.43, 91.22, -11.64)","(0.02, 81.11, 10.58)",inter,sensory,,,,0.055308226495981216,['funconn']
ADAR,FLPR,"(-1.43, 91.22, -11.64)","(0.23, 74.92, -11.36)",inter,sensory,,,,0.1353970617055893,['funconn']
ADAR,I1R,"(-1.43, 91.22, -11.64)","(6.0, 0.0, -2.71)",inter,pharyngeal,,,,0.00510554201900959,['funconn']
ADAR,I2L,"(-1.43, 91.22, -11.64)","(4.85, 13.08, 7.23)",inter,pharyngeal,,,,0.045193083584308624,['funconn']
ADAR,I2R,"(-1.43, 91.22, -11.64)","(3.39, 13.82, -6.0)",inter,pharyngeal,,,,0.0321330726146698,['funconn']
ADAR,I3,"(-1.43, 91.22, -11.64)","(13.57, 18.92, -0.96)",inter,pharyngeal,,,,0.006719519384205341,['funconn']
ADAR,IL1DL,"(-1.43, 91.22, -11.64)","(13.12, 32.71, 2.18)",inter,sensory,,,,0.07130996882915497,['funconn']
ADAR,IL1VR,"(-1.43, 91.22, -11.64)","(0.96, 29.64, -1.72)",inter,sensory,,,,-0.009662206284701824,['funconn']
ADAR,IL2DL,"(-1.43, 91.22, -11.64)","(12.34, 24.21, 4.34)",inter,sensory,,,,0.015797073021531105,['funconn']
ADAR,IL2VL,"(-1.43, 91.22, -11.64)","(2.14, 25.35, 5.06)",inter,sensory,,,,0.046512484550476074,['funconn']
ADAR,M1,"(-1.43, 91.22, -11.64)","(13.67, 75.48, -6.4)",inter,pharyngeal,,,,0.008205286227166653,['funconn']
ADAR,M2L,"(-1.43, 91.22, -11.64)","(2.97, 69.41, 3.49)",inter,pharyngeal,,,,0.022933468222618103,['funconn']
