gene,mean_members,mean_control,effect_size,pval,qval
WBGene00003763,0.03194444444444444,0.15715930586396906,-0.12521486141952462,2.3410970826178975e-11,1.143524138029164e-08
WBGene00018596,0.0462962962962963,0.21279710502508425,-0.16650080872878795,2.853523846277967e-11,1.3641665383408434e-08
WBGene00013041,0.12083333333333335,0.43478904515173944,-0.3139557118184061,2.980116169809017e-11,1.3950047962383083e-08
WBGene00022085,0.004166666666666667,0.23626943005181347,-0.2321027633851468,3.226479162291633e-11,1.4499152059506141e-08
WBGene00013534,0.2138227513227513,1.5398799243358827,-1.3260571730131314,3.202507415447752e-11,1.4499152059506141e-08
WBGene00044696,0.0,0.04818652849740932,-0.04818652849740932,3.4200106166836286e-11,1.496562343192717e-08
WBGene00010437,0.09976851851851853,0.3459823998684103,-0.24621388134989175,3.4634937845930517e-11,1.496562343192717e-08
WBGene00001066,0.11319444444444444,0.4677029360967184,-0.354508491652274,3.702277298919661e-11,1.5695560118759597e-08
WBGene00012319,0.7813161375661375,2.7999095320338845,-2.018593394467747,4.0880122854081913e-11,1.7009916303858638e-08
WBGene00007837,1.0462962962962963,2.367785179702278,-1.3214888834059817,4.2205231547867306e-11,1.7241988139073283e-08
WBGene00004279,0.5659722222222222,1.2457603421333994,-0.6797881199111772,4.344231699011142e-11,1.743045393662167e-08
WBGene00013265,0.14371693121693122,0.4585656715190394,-0.3148487403021082,4.487267606377106e-11,1.754959045278473e-08
WBGene00022538,0.030952380952380953,0.3605312936919155,-0.32957891273953455,4.530135948469066e-11,1.754959045278473e-08
WBGene00010115,0.605952380952381,1.5501192532280614,-0.9441668722756804,4.62281451017624e-11,1.7605088004940666e-08
WBGene00000510,6.357638888888888,18.707887161773172,-12.350248272884283,4.773291190544017e-11,1.7875179960055588e-08
WBGene00018470,0.004629629629629629,0.1084628670120898,-0.10383323738246017,4.9021166502167866e-11,1.8056665412085407e-08
WBGene00019504,1.708829365079365,4.647298297557365,-2.938468932478,5.1387343714581887e-11,1.8622939127789364e-08
WBGene00008417,0.3712301587301587,1.49514762727198,-1.1239174685418212,6.209088237415401e-11,2.1833185460378617e-08
WBGene00019296,0.36653439153439155,2.517090221235299,-2.1505558297009073,6.218896566221156e-11,2.1833185460378617e-08
WBGene00000636,0.01157407407407407,0.1088082901554404,-0.09723421608136633,6.478461225509164e-11,2.23945454270716e-08
WBGene00002059,0.9434854497354497,2.808717822189325,-1.8652323724538755,6.610884441265643e-11,2.2506054925878444e-08
WBGene00001879,0.0,0.036812237848507276,-0.036812237848507276,7.709817870205948e-11,2.5855507123232456e-08
WBGene00004732,7.491104497354496,25.104531622666343,-17.613427125311848,7.922555649550563e-11,2.6178221013198764e-08
WBGene00013474,0.0,0.038341968911917094,-0.038341968911917094,8.760591089849468e-11,2.8373848070758844e-08
WBGene00010615,1.4880291005291004,3.2372974751213093,-1.7492683745922089,8.839598402034444e-11,2.8373848070758844e-08
WBGene00000599,0.07430555555555556,0.3313759355210132,-0.2570703799654576,9.146830688917307e-11,2.854446371517819e-08
WBGene00022219,0.5313161375661375,1.3132000986923265,-0.781883961126189,9.08649178343185e-11,2.854446371517819e-08
WBGene00001090,0.37374338624338627,0.9284069413603093,-0.554663555116923,9.983459802918674e-11,3.063297626609244e-08
WBGene00001616,5.537863756613757,23.08206266962744,-17.544198913013684,1.008874557697646e-10,3.063297626609244e-08
WBGene00018863,0.42777777777777776,0.9977629739287769,-0.5699851961509992,1.0309895535852899e-10,3.088707237267717e-08
WBGene00199360,0.0,0.04709268854346573,-0.04709268854346573,1.0841841468741814e-10,3.163705661833244e-08
WBGene00017080,0.9493716931216931,3.6991940126655147,-2.7498223195438216,1.0786897791754447e-10,3.163705661833244e-08
WBGene00016614,1.4627314814814814,3.465539929270499,-2.0028084477890173,1.4476635941005427e-10,4.170199140492961e-08
WBGene00007583,0.1017526455026455,0.6746196233242866,-0.5728669778216411,1.5242809486057894e-10,4.3353251435725926e-08
WBGene00012662,1.56521164021164,5.037897853441895,-3.472686213230255,1.5464496879437995e-10,4.343397254801154e-08
WBGene00020113,0.5082010582010582,1.1900485237272802,-0.681847465526222,1.5815587808793784e-10,4.387165956491204e-08
WBGene00010846,0.27910052910052907,0.6564602352167118,-0.37735970611618275,1.8164881242696072e-10,4.977398983440708e-08
WBGene00185088,0.22000661375661376,0.5147298297557364,-0.29472321599912266,1.8492589795496537e-10,5.006144579698936e-08
WBGene00016680,0.0,0.036960276338514675,-0.036960276338514675,1.8996199858534295e-10,5.0812573169215126e-08
WBGene00018044,0.4358796296296297,4.079060778024509,-3.6431811483948793,1.9424995573533263e-10,5.1348261828437515e-08
WBGene00236789,0.19722222222222222,1.266839378238342,-1.0696171560161198,2.0807318928921203e-10,5.436274988534076e-08
WBGene00016616,3.793187830687831,17.153886010362694,-13.360698179674863,2.1541147212710174e-10,5.5633107669239643e-08
WBGene00012712,0.04050925925925926,0.25615593387614116,-0.21564667461688192,2.182552416996555e-10,5.5727011656244996e-08
WBGene00006056,0.0,0.039921046138662715,-0.039921046138662715,2.457490307462889e-10,6.15106734546486e-08
