gene,mean_hub,mean_control,effect_size,pval,qval
WBGene00020760,0.0,0.08604974635902471,-0.08604974635902471,2.6921346687642387e-07,3.622130172003813e-05
WBGene00003860,0.17749648382559774,0.8474144984454263,-0.6699180146198285,2.681946824094688e-07,3.622130172003813e-05
WBGene00012906,0.5246132208157522,1.5124611356570117,-0.9878479148412594,2.6545395249426233e-07,3.622130172003813e-05
WBGene00008555,0.5676511954992969,2.9876861397479955,-2.4200349442486986,2.6510806093097754e-07,3.622130172003813e-05
WBGene00008061,0.0,0.033922434953362786,-0.033922434953362786,2.788894383339397e-07,3.7079093431510604e-05
WBGene00014075,1.4526019690576657,6.289199803632794,-4.836597834575128,2.779446757544215e-07,3.7079093431510604e-05
WBGene00195169,0.0,0.062052037309769256,-0.062052037309769256,2.809459196802558e-07,3.71327874664451e-05
WBGene00019054,0.0,0.030093274423171328,-0.030093274423171328,2.862795216657742e-07,3.761645948718293e-05
WBGene00022818,0.0,0.023424971363115693,-0.023424971363115693,2.8963130642282525e-07,3.7616912277540234e-05
WBGene00021972,0.8780590717299579,2.8812469317623957,-2.0031878600324378,2.8830200486541687e-07,3.7616912277540234e-05
WBGene00012364,0.0140646976090014,0.10621011291114384,-0.09214541530214243,3.039138922518216e-07,3.890246087174381e-05
WBGene00023480,0.005625879043600563,0.11053837342497136,-0.10491249438137079,3.047235352453118e-07,3.890246087174381e-05
WBGene00044387,5.266385372714487,23.267116674848634,-18.000731302134145,3.016884118027226e-07,3.890246087174381e-05
WBGene00011926,0.0,0.02542955326460481,-0.02542955326460481,3.112300513597694e-07,3.897841159041329e-05
WBGene00001644,0.0,0.04788087056128293,-0.04788087056128293,3.122489593357147e-07,3.897841159041329e-05
WBGene00185092,0.01828410689170183,0.15933562428407788,-0.14105151739237606,3.1293973256774176e-07,3.897841159041329e-05
WBGene00018145,12.177637130801687,28.591188021600388,-16.413550890798703,3.084464592372979e-07,3.897841159041329e-05
WBGene00008075,1.071026722925457,19.287604320078543,-18.216577597153087,3.1399227815500494e-07,3.897841159041329e-05
WBGene00000242,3.554852320675106,14.25125184094256,-10.696399520267454,3.2160301508242006e-07,3.970383596641152e-05
WBGene00008425,0.012658227848101266,0.08238422516773032,-0.06972599731962906,3.301874555062282e-07,4.0293999514327386e-05
WBGene00008945,0.028832630098452883,0.13928162330224184,-0.11044899320378895,3.3176331435090866e-07,4.0293999514327386e-05
WBGene00003690,4.994092827004218,17.73477335951563,-12.74068053251141,3.283655953433874e-07,4.0293999514327386e-05
WBGene00022833,0.0,0.029438717067583053,-0.029438717067583053,3.367018204543258e-07,4.055652320316566e-05
WBGene00016088,0.0759493670886076,0.48492881688757977,-0.40897944979897216,3.3753481859415093e-07,4.055652320316566e-05
WBGene00019872,3.533755274261603,6.67063492063492,-3.136879646373317,3.5068222583413553e-07,4.1912121980144635e-05
WBGene00015139,0.0,3.53627884143348,-3.53627884143348,3.5712814054667326e-07,4.2233222052332644e-05
WBGene00007816,0.5734177215189874,11.115136638847977,-10.54171891732899,3.554460739208317e-07,4.2233222052332644e-05
WBGene00012658,0.4614627285513361,1.209155621011291,-0.747692892459955,3.596990576567093e-07,4.231454516486178e-05
WBGene00003001,0.0,0.020700376370479463,-0.020700376370479463,3.646020383377296e-07,4.266793333026274e-05
WBGene00013723,0.09282700421940927,1.0484536082474225,-0.9556266040280132,3.687157661522496e-07,4.292577486878185e-05
WBGene00016942,0.012658227848101266,0.07709049255441008,-0.06443226470630882,3.717335295623567e-07,4.299893407937099e-05
WBGene00001837,1.2485232067510548,2.8715840288005237,-1.6230608220494689,3.756902994390305e-07,4.299893407937099e-05
WBGene00010681,1.2127988748241916,3.5673621338569794,-2.354563259032788,3.755985197679217e-07,4.299893407937099e-05
WBGene00011520,0.759493670886076,5.561021109474718,-4.801527438588643,3.7699897697432394e-07,4.299893407937099e-05
WBGene00005655,1.2825597749648383,9.37479954180985,-8.092239766845012,3.895041698590241e-07,4.420085450789097e-05
WBGene00012379,0.08748241912798874,0.5849942726231387,-0.49751185349515004,3.9303462758499163e-07,4.437736204626722e-05
WBGene00021820,0.449648382559775,3.891114383897889,-3.4414660013381138,3.9625494234981974e-07,4.45172614982905e-05
WBGene00015620,0.0,0.06554573719522172,-0.06554573719522172,4.03291500659492e-07,4.4901457698758847e-05
WBGene00018067,0.8225035161744022,4.437129765995746,-3.6146262498213435,4.036714787106363e-07,4.4901457698758847e-05
WBGene00044122,0.016877637130801683,0.557764686630666,-0.5408870494998643,4.096648410856612e-07,4.512136918800844e-05
WBGene00235310,0.11954992967651196,0.7997381770577646,-0.6801882473812526,4.089495570386189e-07,4.512136918800844e-05
WBGene00010836,0.0,0.07285223367697594,-0.07285223367697594,4.184139210995759e-07,4.5860206796031076e-05
WBGene00003725,0.23263009845288324,3.2940353460972016,-3.0614052476443185,4.2070405852692004e-07,4.588737617010372e-05
WBGene00017341,0.0,0.06534936998854524,-0.06534936998854524,4.2338499789257435e-07,4.595670298380799e-05
WBGene00005958,0.0,0.06254295532646048,-0.06254295532646048,4.2790019422740805e-07,4.605056370846892e-05
WBGene00219589,0.22953586497890305,0.666699394534446,-0.437163529555543,4.2834873893230695e-07,4.605056370846892e-05
WBGene00022062,0.07102672292545711,1.2788087056128294,-1.2077819826873724,4.3959176226760065e-07,4.703422526852724e-05
WBGene00003474,0.06624472573839663,0.21557028309605628,-0.14932555735765965,4.521028356587795e-07,4.779080071951264e-05
WBGene00013041,0.15175808720112516,0.364130256913762,-0.21237216971263684,4.5004593218184675e-07,4.779080071951264e-05
WBGene00017244,0.04950773558368495,0.3168384879725086,-0.26733075238882364,4.5324676928151727e-07,4.779080071951264e-05
WBGene00013638,3.668213783403657,10.576943217149404,-6.908729433745748,4.5517073986273106e-07,4.779080071951264e-05
WBGene00022615,0.03727144866385373,0.7217149402716412,-0.6844434916077875,4.612471023491416e-07,4.8203540198524936e-05
