Neuron,TotalStrength,AvgRelatedness,StrengthImbalance
SMDVR ,1086.0,7.25,1086.0
URADL,171.0,15.61111111111111,121.0
URADL ,144.0,6.428571428571429,144.0
URADR,166.0,14.223076923076924,122.0
URADR ,174.0,5.6875,174.0
URAVL,174.0,14.164251207729468,128.0
URAVL ,324.0,7.066666666666666,324.0
URAVR,173.0,14.746212121212121,123.0
URAVR ,258.0,7.235294117647059,258.0
URBL,141.0,14.07451923076923,89.0
URBL ,185.0,7.233333333333333,185.0
URBR,109.0,15.564423076923077,65.0
URBR ,199.0,7.208333333333333,199.0
URXL,272.0,15.477777777777778,60.0
URXL ,196.0,8.38,196.0
URXR,274.0,17.401120632827947,100.0
URXR ,301.0,6.724137931034483,301.0
URYDL,163.0,14.861861861861861,121.0
URYDL ,148.0,7.318181818181818,148.0
URYDR,145.0,14.398706896551724,105.0
URYDR ,155.0,6.735294117647059,155.0
URYVL,149.0,14.01125,85.0
URYVL ,295.0,7.315789473684211,295.0
URYVR,137.0,13.405228758169933,73.0
URYVR ,282.0,7.15625,282.0
VA01 ,165.0,6.071428571428571,165.0
VA02 ,354.0,7.3,354.0
VA03 ,300.0,7.142857142857143,300.0
VA04 ,237.0,6.5,237.0
VA05 ,201.0,7.4,201.0
VA06 ,294.0,7.34375,294.0
VA07 ,267.0,6.821428571428571,267.0
VA08 ,219.0,7.392857142857143,219.0
VA09 ,201.0,7.233333333333333,201.0
VA10 ,231.0,8.21875,231.0
VA11 ,342.0,7.7,342.0
VA12 ,582.0,7.270833333333333,582.0
VB01 ,245.0,8.0625,245.0
VB02 ,434.0,6.433333333333334,434.0
VB03 ,374.0,7.269230769230769,374.0
VB04 ,181.0,7.038461538461538,181.0
VB05 ,278.0,5.928571428571429,278.0
VB06 ,329.0,7.454545454545454,329.0
VB07 ,254.0,7.363636363636363,254.0
VB08 ,254.0,7.7727272727272725,254.0
VB09 ,275.0,7.045454545454546,275.0
VB10 ,275.0,8.0,275.0
VB11 ,336.0,7.923076923076923,336.0
VC01 ,243.0,8.2,243.0
VC02 ,273.0,7.1875,273.0
VC03 ,282.0,6.34,282.0
VC04 ,78.0,7.7,78.0
VC05 ,135.0,7.035714285714286,135.0
VC06 ,87.0,8.9375,87.0
VD01 ,141.0,6.416666666666667,141.0
VD02 ,309.0,8.0,309.0
VD03 ,192.0,6.6875,192.0
VD04 ,102.0,6.857142857142857,102.0
VD05 ,135.0,7.136363636363637,135.0
VD06 ,174.0,7.409090909090909,174.0
VD07 ,168.0,6.722222222222222,168.0
VD08 ,123.0,5.5,123.0
VD09 ,141.0,6.75,141.0
VD10 ,117.0,5.8125,117.0
VD11 ,183.0,7.363636363636363,183.0
VD12 ,471.0,6.85,471.0
VD13 ,327.0,7.3076923076923075,327.0
anal ,36.0,0.0,36.0
dBWML1 ,90.0,0.0,90.0
dBWML10 ,90.0,0.0,90.0
dBWML11 ,90.0,0.0,90.0
dBWML12 ,90.0,0.0,90.0
dBWML13 ,90.0,0.0,90.0
dBWML14 ,90.0,0.0,90.0
dBWML15 ,90.0,0.0,90.0
dBWML16 ,90.0,0.0,90.0
dBWML17 ,90.0,0.0,90.0
dBWML18 ,90.0,0.0,90.0
dBWML19 ,90.0,0.0,90.0
dBWML2 ,90.0,0.0,90.0
dBWML20 ,90.0,0.0,90.0
dBWML21 ,90.0,0.0,90.0
dBWML22 ,90.0,0.0,90.0
dBWML23 ,90.0,0.0,90.0
dBWML24 ,45.0,0.0,45.0
dBWML3 ,135.0,0.0,135.0
dBWML4 ,90.0,0.0,90.0
dBWML5 ,90.0,0.0,90.0
dBWML6 ,90.0,0.0,90.0
dBWML7 ,90.0,0.0,90.0
dBWML8 ,90.0,0.0,90.0
dBWML9 ,93.0,0.0,93.0
dBWMR1 ,90.0,0.0,90.0
dBWMR10 ,90.0,0.0,90.0
dBWMR11 ,90.0,0.0,90.0
dBWMR12 ,90.0,0.0,90.0
dBWMR13 ,90.0,0.0,90.0
