cycle_id,size,label,a,b,c,d,N,n,K,coverage,jaccard,overlap,odds_ratio,risk_ratio,phi,exp,var,z,fisher_p,hypergeom_p,chi2,chi2_p,cov_ci_low,cov_ci_high,qval,reject_0.05
129,108,NPR10,30,6,78,65,179,36,108,0.8333333333333334,0.2631578947368421,0.8333333333333334,3.9152376286134247,1.512136340161818,0.2358782420554401,21.720670391061454,6.9214100332824975,3.1470082655403577,0.001035261631390642,0.001035261631390642,8.79271094512194,0.003024364855813379,0.6810920568872054,0.9212955240498188,0.010303318140983056,True
197,108,NPR10,30,6,78,65,179,36,108,0.8333333333333334,0.2631578947368421,0.8333333333333334,3.9152376286134247,1.512136340161818,0.2358782420554401,21.720670391061454,6.9214100332824975,3.1470082655403577,0.001035261631390642,0.001035261631390642,8.79271094512194,0.003024364855813379,0.6810920568872054,0.9212955240498188,0.010303318140983056,True
265,49,NPR10,18,18,31,112,179,36,49,0.5,0.26865671641791045,0.5,3.5714285714285716,2.2857142857142856,0.25460594416118565,9.854748603351956,5.749788981743546,3.396866975728246,0.0010109086583765898,0.0010109086583765898,10.222677589504514,0.0013872430943691757,0.34474325409626827,0.6552567459037317,0.010303318140983056,True
395,127,NPR10,33,3,94,49,179,36,127,0.9166666666666666,0.25384615384615383,0.9166666666666666,5.01360544217687,1.3796653796653797,0.2289593925997656,25.54189944134078,5.96100571984841,3.0546993003924863,0.0010725772263248147,0.0010725772263248147,8.167608113881204,0.0042645107092656705,0.7817330875072737,0.9712513886640066,0.010426448386134246,True
331,30,NPR10,13,23,17,126,179,36,30,0.3611111111111111,0.24528301886792453,0.43333333333333335,4.15258358662614,3.0023166023166024,0.2599521554287171,6.033519553072626,4.034781279182677,3.468194330475497,0.0012109441358123228,0.0012109441358123228,10.421949609239878,0.0012452636632815414,0.22475592946515371,0.5242492451444196,0.011503969290217068,True
339,121,NPR10,32,4,89,54,179,36,121,0.8888888888888888,0.256,0.8888888888888888,4.397889509621353,1.4132568322512458,0.22825913140682486,24.335195530726256,6.3346968718800944,3.045356650799126,0.0012449993819578919,0.0012449993819578919,8.149216886348192,0.004307976057408074,0.7468519140963513,0.9559335969968435,0.011564660925742196,True
217,87,NPR10,26,10,61,82,179,36,87,0.7222222222222222,0.26804123711340205,0.7222222222222222,3.3855981416957026,1.6769940672379697,0.23710561746881018,17.497206703910614,7.224695605945893,3.16338349598611,0.001286507733980167,0.001286507733980167,8.914493529022202,0.002829162630666357,0.5600751000260289,0.841516620598654,0.011690439843558909,True
154,128,NPR10,33,3,95,48,179,36,128,0.9166666666666666,0.25190839694656486,0.9166666666666666,4.860882572924457,1.3652186217631244,0.22407830417366104,25.743016759776538,5.892405411745976,2.989577458344103,0.0013690970153177147,0.0013690970153177147,7.791948839771679,0.005247955838278401,0.7817330875072737,0.9712513886640066,0.01217622451920861,True
63,27,NPR10,12,24,15,128,179,36,27,0.3333333333333333,0.23529411764705882,0.4444444444444444,4.22975641869651,3.138622493461203,0.25584938452959144,5.430167597765363,3.7044166375314775,3.413456539407289,0.0015409104621456427,0.0015409104621456427,10.00153368432791,0.00156409911978902,0.2021461882430531,0.4966600212884348,0.013418761941184972,True
173,104,NPR10,29,7,75,68,179,36,104,0.8055555555555556,0.26126126126126126,0.8055555555555556,3.568653421633554,1.5206729908716663,0.2283504967270442,20.916201117318437,7.040557936828831,3.046575616208603,0.0015742338056433732,0.0015742338056433732,8.214848652949613,0.004154898037933504,0.6497195700482261,0.9024690458107127,0.013429178178753673,True
79,136,NPR10,34,2,102,41,179,36,136,0.9444444444444444,0.2463768115942029,0.9444444444444444,5.587317073170731,1.3099538562953197,0.21688225010360676,27.35195530726257,5.2786131813557695,2.89357012235415,0.001716456191264248,0.001716456191264248,7.200907340730783,0.007286673054140124,0.8185534279135275,0.9846300133358382,0.014068209567616778,True
378,136,NPR10,34,2,102,41,179,36,136,0.9444444444444444,0.2463768115942029,0.9444444444444444,5.587317073170731,1.3099538562953197,0.21688225010360676,27.35195530726257,5.2786131813557695,2.89357012235415,0.001716456191264248,0.001716456191264248,7.200907340730783,0.007286673054140124,0.8185534279135275,0.9846300133358382,0.014068209567616778,True
289,99,NPR10,28,8,71,72,179,36,99,0.7777777777777778,0.2616822429906542,0.7777777777777778,3.399835458658988,1.5513135513135512,0.226770575360068,19.910614525139664,7.148874212780044,3.025496836082672,0.0017956088433455691,0.0017956088433455691,8.102305169753087,0.0044208998975202324,0.6191529705388181,0.8828366802420353,0.014433932625354768,True
