Unnamed: 0	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	gold_strict	gold_umbrella	gold_union	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	tier
WBGene00000101	-0.1030119605917711	0.0578173245159999	0.1030119605917711	0.0578173245159999	11750.0	14347.0	12983.730203604817	True	True	True	48563213.74276182		17749.113524838114	7422.146016495087	4862746.584814141	Very High
WBGene00000102	-0.0632462143838289	0.2286498303509945	0.0632462143838289	0.2286498303509945	14479.0	6119.0	9412.597994177802	True	True	True	32499168.316211574		15983.063246214384	8948.32552808222	3255411.0760279708	High
WBGene00000103	-0.0425134739520798	0.380472695648913	0.0425134739520798	0.380472695648913	15694.0	2349.0	6071.672421993795	True	True	True	28952682.840509083		15835.042513473953	8325.999861403989	2900095.931625135	Medium
WBGene00000105	-0.0115987274516756	0.0406205840382127	0.0115987274516756	0.0406205840382127	17237.0	15314.0	16247.074136594563	True	True	True	65683425.51806504		17932.01159872745	5219.452500130427	6575537.513754166	Very High
WBGene00000106	-0.1685944510697398	0.0092561198290859	0.1685944510697398	0.0092561198290859	7363.0	17253.0	11270.928932434985	True	True	True	39853675.871001616		17253.16859445107	7289.724120530708	3991410.571116127	High
WBGene00000107	-0.0068259333562282	0.1007036807554813	0.0068259333562282	0.1007036807554813	17466.0	11882.0	14405.936692905463	True	True	True	56893558.97468802		17466.018407805786	7314.105940005024	5696209.32371361	Very High
WBGene00000108	0.3955922802698531	0.2888767586002527	0.3955922802698531	0.2888767586002527	3754.0	4382.0	4055.8634099288897	True	True	True	3360370.428182381		4381.7111232414	7100.5197931124485	338404.5891446742	Very Low
WBGene00000109	0.2121448239558713	0.0804320702860814	0.2121448239558713	0.0804320702860814	5732.0	13024.0	8640.229626578219	True	True	True	26166905.04807313		13962.935248647262	8932.69825585806	2621719.7496358003	Medium
WBGene00000110	-0.1225414491953315	0.0841765169723489	0.1225414491953315	0.0841765169723489	10303.0	12834.0	11499.073962715433	True	True	True	34624408.59547443		13013.122541449196	8273.96034809202	3468033.1920679724	High
WBGene00000111	0.0590754593971414	0.1466917443220891	0.0590754593971414	0.1466917443220891	14742.0	9488.0	11826.753400659032	True	True	True	37115803.563207895		14741.940924540602	9087.78809708411	3717569.0457164585	High
WBGene00000112	-0.1574778718895839	0.0720664022774194	0.1574778718895839	0.0720664022774194	8015.0	13505.0	10403.969194494955	True	True	True	30354975.79272365		13841.1687629985	7804.46044164633	3040854.5535255587	Medium
WBGene00000113	0.1156510970424947	0.2176604282612033	0.1156510970424947	0.2176604282612033	10803.0	6553.0	8413.801697211553	True	True	True	31508755.04221452		15402.949803017582	9198.580941183362	3155912.7041278984	Medium
WBGene00000114	0.0008020371041579	-0.0255760792994723	0.0008020371041579	0.0255760792994723	17728.0	16253.0	16974.486266158397	True	True	True	64629896.83546022		17728.061285960986	5504.609811767446	6470408.499442818	Very High
WBGene00000115	-0.0714475018014032	0.0624109051578414	0.0714475018014032	0.0624109051578414	13940.0	14103.0	14021.26313853356	True	True	True	49113970.42018194		14521.080626493422	8026.360303867276	4917858.224907264	Very High
WBGene00000116	-0.0671095373657349	-0.0073524220816408	0.0671095373657349	0.0073524220816408	14226.0	17365.0	15717.330880273534	True	True	True	60951367.16824033		17365.073835177962	6611.24849858731	6102265.182145437	Very High
WBGene00000117	-0.0984530234045018	-0.2755718818547449	0.0984530234045018	0.2755718818547449	12064.0	4778.0	7592.21917491849	True	True	True	21808839.451724257		12767.275571881855	6576.928049574885	2185261.7874520635	Medium
WBGene00000118	0.1055296275712191	0.1200205180817093	0.1055296275712191	0.1200205180817093	11557.0	10891.5	11219.316623573826	True	True	True	34831436.569962494		13133.914189681647	9052.644223276007	3488729.1396099315	High
WBGene00000120	-0.1031718609144507	0.126309547534409	0.1031718609144507	0.126309547534409	11738.0	10482.0	11092.236744678685	True	True	True	28542772.995955206		12265.103171860914	8593.306533262103	2859694.389502411	Medium
WBGene00000121	-0.1427952516333707	-0.0261216973701401	0.1427952516333707	0.0261216973701401	8935.0	16219.0	12038.137937405436	True	True	True	40732976.09011456		16219.142795251631	7578.989316329397	4079396.636016355	High
WBGene00000122	-0.234392829925894	-0.0167866062057687	0.234392829925894	0.0167866062057687	5211.0	16739.0	9339.535802169185	True	True	True	36920687.40053736		17035.23901794963	6107.317764176112	3697511.9493121654	High
