Neuron	pearson_r_strict	spearman_r_strict	abs_pearson_strict	abs_spearman_strict	rank_p_strict	rank_s_strict	rank_product_strict	variance_var_bulk	variance_var_aggr	dynamic_range_dyn_bulk	meta_rank_product	meta_score_mean	meta_score_median	Type	LineageGroup	Functions	RichClubScore	TotalStrength	AvgRelatedness	StrengthImbalance	total_3node_motifs	as_source	as_target	MultifunctionalityScore	is_known_hub	literature_refs	is_novel_candidate
WBGene00013076	0.6289067726609889	0.0193377884796544	0.6289067726609889	0.0193377884796544	2760.0	16595.0	6767.732264207856	32983518.615852825	0.1120914533412153	16842.982766303445	8067.826706418376	3003141.233288212	2760.0											0	False		True
WBGene00013232	-8.584556128380869e-05	0.3662186924824063	8.584556128380869e-05	0.3662186924824063	17759.0	2552.0	6732.084966784065	33636280.02418927	0.1120914533412153	17759.048921666497	7010.481720459693	3062553.953120638	2552.0											0	False		True
WBGene00013974	0.6426290445763997	-0.0035059253304355	0.6426290445763997	0.0035059253304355	2679.0	17547.0	6856.268154032484	33238486.843267106	0.1120914533412153	17547.03133707298	7638.670297562592	3026432.382764119	2679.0											0	False		True
WBGene00014166	-0.0221526883204058	0.4786038239083179	0.0221526883204058	0.4786038239083179	16720.0	1180.0	4441.801436354399	33126321.503190044	0.1120914533412153	17441.02215268832	7457.576379587718	3015778.452041616	1180.0											0	False		True
WBGene00014202	-0.001208198716319	0.439267836066318	0.001208198716319	0.439267836066318	17717.0	1605.0	5332.521448620718	36351032.43233376	0.1120914533412153	17926.001208198715	5949.33286475431	3309051.207134769	1605.0											0	False		True
WBGene00014214	-0.0225121958803322	0.5350488973213058	0.0225121958803322	0.5350488973213058	16697.0	799.0	3652.5200889249054	32310290.54939436	0.1120914533412153	17075.02251219588	7390.384568377631	2941445.968977555	799.0											0	False		True
WBGene00014759	0.0167441215074719	0.4601729369069084	0.0167441215074719	0.4601729369069084	16992.0	1379.0	4840.657806538281	32670385.34570165	0.1120914533412153	16991.98325587849	7869.944151617658	2974405.454258296	1379.0											0	False		True
WBGene00014839	0.991970859206146	0.0164771524896061	0.991970859206146	0.0164771524896061	710.0	16754.0	3448.9621627382344	32256043.891285703	0.1120914533412153	16997.98528216264	7055.170885698963	2936455.64896398	710.0											0	False		True
WBGene00015474	-0.0033265440196729	0.57620286995933	0.0033265440196729	0.57620286995933	17614.0	590.0	3223.7028399032065	35493987.179765746	0.1120914533412153	17782.003326544018	6221.538313251429	3230856.33534024	590.0											0	False		True
WBGene00015493	0.8071011835218246	0.0846349241899724	0.8071011835218246	0.0846349241899724	1971.0	12808.0	5024.397277286103	32528244.061802287	0.1120914533412153	14438.942549066149	8588.624682123029	2961006.9928976754	1971.0											0	False		True
WBGene00015560	1.6401404807938127e-05	0.412532010580145	1.6401404807938127e-05	0.412532010580145	17762.0	1918.0	5836.738472811678	35901122.57039105	0.1120914533412153	17761.999983598595	6159.339261389728	3268232.871390648	1918.0											0	False		True
WBGene00015686	0.029160393672896	0.3630667274333107	0.029160393672896	0.3630667274333107	16377.0	2613.0	6541.643600808592	32682719.70173719	0.1120914533412153	16862.97768201471	8458.178923940595	2975779.3998626955	2613.0											0	False		True
WBGene00015687	-0.0090478659028686	0.5769494181455418	0.0090478659028686	0.5769494181455418	17359.0	585.0	3186.6934273632287	35122117.38429043	0.1120914533412153	17851.009047865904	6343.788189906728	3197040.3764496227	585.0											0	False		True
WBGene00016375	-0.0230347287631422	0.3737411614116887	0.0230347287631422	0.3737411614116887	16659.0	2430.0	6362.497151276376	33436004.0438985	0.1120914533412153	17193.02303472876	8152.639679481869	3044254.7330307057	2430.0											0	False		True
WBGene00016796	-0.023696246397065	0.3993324339082837	0.023696246397065	0.3993324339082837	16635.0	2061.0	5855.316814656573	33382714.00422364	0.1120914533412153	17281.023696246397	8065.6186383316735	3039328.4431026545	2061.0											0	False		True
WBGene00016806	-0.0002400008590122	0.3904574552361694	0.0002400008590122	0.3904574552361694	17751.0	2194.0	6240.648523991717	36161814.76276075	0.1120914533412153	17751.009135788216	6760.417759669132	3292046.611926052	2194.0											0	False		True
WBGene00017357	0.013548252788268	0.478556428890556	0.013548252788268	0.478556428890556	17132.0	1181.0	4498.098709454918	33487048.42382933	0.1120914533412153	17213.986451747212	7497.601810017592	3048597.473372851	1181.0											0	False		True
WBGene00018115	0.0364883054089995	0.4001441633088376	0.0364883054089995	0.4001441633088376	16039.0	2050.0	5734.104114855258	32708808.63617005	0.1120914533412153	17481.00964068399	8139.191559398165	2978022.9933492155	2050.0											0	False		True
WBGene00018312	0.9785718319676358	0.0232895269257589	0.9785718319676358	0.0232895269257589	937.0	16398.0	3919.8119852870495	32225336.359489143	0.1120914533412153	17304.988889829907	7254.554991228863	2933741.166469969	937.0											0	False		True
WBGene00018338	-0.0043431384185857	0.3723648990267707	0.0043431384185857	0.3723648990267707	17573.0	2448.0	6558.864535878142	34010247.42895143	0.1120914533412153	17573.00434313842	7729.373113347301	3096557.320705913	2448.0											0	False		True
WBGene00018557	0.9916576290242808	0.0091020230712371	0.9916576290242808	0.0091020230712371	718.0	17267.0	3521.0376311536347	33012348.09304657	0.1120914533412153	17267.01677732154	6878.866568662022	3005272.920694042	718.0											0	False		True
WBGene00018779	0.0126858094569171	0.3751907962342576	0.0126858094569171	0.3751907962342576	17176.0	2415.0	6440.499980591569	36091848.306487	0.1120914533412153	17681.995126372487	7862.863232435502	3285765.959333733	2415.0											0	False		True
WBGene00018836	0.0024414514712306	0.3979434311041889	0.0024414514712306	0.3979434311041889	17662.0	2079.0	6059.645039109139	36695947.42269668	0.1120914533412153	17907.000614147324	6590.932766583747	3340567.901270703	2079.0											0	False		True
WBGene00019122	-0.0016729108061939	0.4543527115019612	0.0016729108061939	0.4543527115019612	17696.0	1432.0	5033.951926667556	35940471.751248576	0.1120914533412153	17810.001672910807	6619.53489378217	3271733.114594437	1432.0											0	False		True
WBGene00020023	-0.0250505680118471	0.3771965290859972	0.0250505680118471	0.3771965290859972	16575.0	2384.0	6286.079859499082	32487514.59258317	0.1120914533412153	16911.025050568012	8134.889318045098	2957982.404845072	2384.0											0	False		True
WBGene00020575	0.6287432648192965	-0.0037120251667225	0.6287432648192965	0.0037120251667225	2761.0	17542.0	6959.415349007415	34410622.164719686	0.1120914533412153	17542.02093384802	7588.28468794406	3133001.47775168	2761.0											0	False		True
WBGene00020599	0.9422599320654992	0.0221786988426747	0.9422599320654992	0.0221786988426747	1278.0	16461.0	4586.628173288085	33496161.90274031	0.1120914533412153	17817.998282852517	7028.757958829658	3049394.211647636	1278.0											0	False		True
WBGene00020912	0.0223761954359888	0.4713683807197777	0.0223761954359888	0.4713683807197777	16709.0	1257.0	4582.926248588341	32170680.592599127	0.1120914533412153	16929.978911951584	7767.778616436131	2928902.579632428	1257.0											0	False		True
WBGene00021378	0.014560690973754	0.4581720230444973	0.014560690973754	0.4581720230444973	17095.0	1394.0	4881.642141738782	35056024.168647684	0.1120914533412153	17888.999010152034	7031.812960735273	3191301.516392472	1394.0											0	False		True
WBGene00021714	-0.0283923095454901	0.4125485097310205	0.0283923095454901	0.4125485097310205	16415.0	1917.0	5609.594905160265	32129684.9247564	0.1120914533412153	16998.028392309545	8053.268595094078	2925334.43216704	1917.0											0	False		True
WBGene00021927	-0.0272829885200301	0.3756088165863235	0.0272829885200301	0.3756088165863235	16466.0	2407.0	6295.527142344793	32313117.46367463	0.1120914533412153	16798.02728298852	8263.245179639665	2942122.556962608	2407.0											0	False		True
WBGene00022204	0.9447004346283246	0.0179715974030133	0.9447004346283246	0.0179715974030133	1263.0	16677.0	4589.449967043981	33836265.8203727	0.1120914533412153	17766.997439908973	7112.794703324399	3080334.281810772	1263.0											0	False		True
WBGene00022536	0.5604243394555434	0.0351534279990692	0.5604243394555434	0.0351534279990692	3050.0	15692.0	6918.135586991628	32011328.86757718	0.1120914533412153	17026.014232598955	8198.547392606877	2914746.806185124	3050.0											0	False		True
WBGene00022883	0.0058910466291073	0.4093636035038311	0.0058910466291073	0.4093636035038311	17503.0	1945.0	5834.666657145033	35930391.164544135	0.1120914533412153	17644.005822437146	7501.00389208119	3270983.6166833225	1945.0											0	False		True
WBGene00023302	0.997831800696722	0.016044058488183	0.997831800696722	0.016044058488183	457.0	16779.0	2769.115923900623	32417048.3212703	0.1120914533412153	17042.013793078702	6676.5869201440255	2950979.470704599	457.0											0	False		True
WBGene00043061	-0.0213148865254271	0.4961575697022163	0.0213148865254271	0.4961575697022163	16763.0	1043.0	4181.364490211299	32716789.38732368	0.1120914533412153	17197.021314886526	7511.474633053466	2978498.7592880386	1043.0											0	False		True
WBGene00044138	0.9738628831976924	-0.0047305407343211	0.9738628831976924	0.0047305407343211	992.0	17494.0	4165.819007110126	35063443.32383821	0.1120914533412153	17675.004730540735	6619.229261922679	3191853.7669686363	992.0											0	False		True
WBGene00044204	0.0166229239790403	0.3823956063392026	0.0166229239790403	0.3823956063392026	16997.0	2288.0	6236.115457558495	34584866.943126164	0.1120914533412153	17459.989812318436	7991.085294242464	3148712.731256254	2288.0											0	False		True
